pH;Turbidez;CRL;Coliformes;Ecoli;Precipitação;Latitude;Longitude;Manancial;Lat_Norm;Long_Norm
0.282;0.0865;0.214;1;0;0.50203365;-20.6229;-41.6937;1;0.336423988;0.715435083
0.528;0;0.003;1;0;0.003199097;-27.0483;-51.2243;3;0.171767331;0.504313976
0.44;0.012;0.085;0;0;0.258899207;-14.9823;-39.9269;1;0.480969438;0.754573098
0.5;0.025;0.13;0;0;0.571386365;-23.7067;-46.4058;1;0.257398838;0.611053012
0.58;0.004;0.5;0;0;0.486066751;-27.197;-50.0786;1;0.16795676;0.529693433
0.544;0.01;0.021;0;0;0.631959709;-17.7268;-39.2597;3;0.410639156;0.76935286
0.49;0.0265;0.085;0;0;1;-10.8996;-37.0323;3;0.585592299;0.818694051
0.4;0.075;0.08;0;0;0;-14.4071;-42.0721;2;0.495709456;0.707052795
0.44;0.0475;0.5;0;0;0.538801355;-28.1233;-54.8373;3;0.144219489;0.424279082
0.523;0.0025;0.064;0;0;0.54439553;-8.81175;-36.0137;1;0.639095334;0.841257999
0.51;0.015;0.089;1;0;0.357608738;-15.4993;-49.6861;1;0.467720848;0.538388062
0.268;0.002;0.05;1;0;0.255506969;-11.169;-61.8986;1;0.578688682;0.267857716
0.443;0.33;0.138;0;0;0.420287992;-28.0331;-49.133;3;0.146530945;0.55064029
0.578;0.12175;0.17;0;0;0.942973328;-19.3999;-41.1746;1;0.367764463;0.726934145
0.58;0.0015;0.074;0;0;0.731035552;-2.76141;-42.2755;1;0.794140741;0.702547094
0.42;0.0025;0.06;0;0;0.029271806;-7.37696;-37.4787;2;0.675863119;0.808805433
0.51;0.01725;0.084;1;1;0.055208571;-12.1144;-43.8958;1;0.554461956;0.666654335
0.683;0.00175;0.006;0;0;0.885497305;-27.0545;-52.069;1;0.171608451;0.485602248
0.46;0.04725;0;0;0;0.15073126;-3.53639;-43.917;1;0.774281181;0.666184715
0.5;0.075;0.1;0;0;0.422326418;-10.3215;-36.585;1;0.600406632;0.828602606
0.58;0.06675;0;0;0;0;-14.5003;-42.2229;2;0.493321122;0.703712286
0.48;0.0175;0.202;0;0;0.437365414;-31.8419;-52.8004;2;0.048927018;0.469400332
0.48;0.0005;0.19;0;1;0.183248674;-8.81175;-36.0137;1;0.639095334;0.841257999
0.644;0.19175;0.15;0;0;0;0.034934;-51.0694;1;0.865799572;0.507745309
0.373;0.0005;0.115;1;0;0.017187454;-18.548;-42.7655;1;0.389595167;0.691692653
0.37;0.0195;0.4;0;0;0.545964222;-20.1861;-49.3464;3;0.347617381;0.54591307
0.54;0.10225;0.155;1;0;0.48472682;-22.031;-48.9135;3;0.300340158;0.555502637
0.413;0.0025;0.25;0;0;0.375772335;-13.8107;-41.3003;1;0.510992742;0.724149649
0.57;0.0025;0.3;0;0;0.090599818;-10.3524;-37.7002;1;0.599614791;0.803898783
0.54;0.0015;0;0;0;0.226171338;-27.0996;-51.2473;3;0.170452723;0.503804482
0.589;0.05675;0.073;0;0;0.315529922;-18.4859;-49.4766;1;0.391186536;0.54302889
0.5;0.00125;0.058;0;0;0.791826987;-11.3809;-37.6623;1;0.573258554;0.80473834
0.46;0.03;0.179;0;0;0.15073126;-3.53639;-43.917;1;0.774281181;0.666184715
0.5;0.05;0.1;0;0;0.197077039;-7.70734;-37.8446;1;0.667396834;0.800700045
0.498;0.0415;0.25;0;0;0.328910242;-27.0772;-52.1289;1;0.171026743;0.484275348
0.473;0.025;0.056;0;0;0.069743269;-19.6741;-44.8964;1;0.360737841;0.644489122
0.51;0;0.098;0;0;0.855608079;-7.55564;-35.4425;1;0.671284283;0.853911177
0.49;0.06;0.172;0;0;0.558508894;-12.6187;-38.2926;3;0.541538815;0.790775984
0.41;0.01925;0.01;0;0;0.194750856;-2.83939;-44.062;1;0.792142433;0.662972686
0.365;0.028;0.15;0;0;0.741654499;-22.7181;-42.6276;1;0.282732602;0.694747403
0.5;0.0475;0.1;0;0;0.366058989;-15.6528;-40.065;1;0.463787272;0.751513918
0.44;0.0025;0.06;0;0;1;-5.81673;-42.5147;3;0.715845416;0.697248355
0.538;0.006;0.08;0;0;0.060129365;-11.8219;-42.6179;3;0.561957532;0.694962276
0.57;0.007;0.15;0;0;0.672364323;-26.9592;-50.4252;1;0.174050599;0.522015577
0.5;0.0575;0.1;0;0;0.290437355;-9.06596;-68.6571;1;0.632580974;0.118143952
0.546;0.056;0.01;0;0;0.55413531;-19.1083;-46.6961;3;0.375236976;0.604622309
0.462;0.025;0.05;0;0;0.033517587;-26.0817;-53.0535;1;0.196537326;0.463793681
0.46;0.01725;0.1;0;0;0.570913326;-32.19316;-52.17512;1;0.039925664;0.483251486
0.21;0.0005;0.02;0;0;0.013123369;-3.40202;-44.3508;1;0.777724533;0.656575211
0.56;0.01675;0.068;0;0;0.976839871;-10.3545;-38.2213;3;0.599560977;0.792355416
0.45;0.1;0.067;0;0;0.175942862;-21.5556;-45.4364;1;0.312522711;0.632527085
0.5;0.0085;0.12;0;0;0.120761318;-22.945;-47.3122;1;0.276918086;0.59097451
0.408;0.002;0.086;0;0;1;-11.3809;-37.6623;1;0.573258554;0.80473834
0.499;0;0.13;0;0;0.651579244;-27.0653;-53.3265;1;0.171331691;0.457746206
0.527;0.0125;0.086;;;0.749215476;-8.83951;-35.4591;2;0.638383959;0.853543455
0.378;0.16475;0;0;0;0.861273507;-3.83053;-62.0658;3;0.766743579;0.264153915
0.443;0.015;0.2;0;0;0.353358666;-7.567313;-35.018484;3;0.670985152;0.863303946
0.44;0.1375;0.282;1;0;0.57715061;-22.1809;-47.3841;3;0.296498836;0.589381786
0.403;0.032;0.032;0;0;0.49835159;-15.4342;-39.3287;2;0.469389094;0.767824378
0.5;0.0025;0.036;0;0;0;-2.72094;-42.5258;3;0.795177821;0.697002468
0.502;0.03675;0.3;1;1;1;-10.7505;-39.2137;3;0.589413121;0.770371849
0.52;0;0.211;0;0;0.379650452;-13.6541;-40.2119;1;0.515005758;0.7482598
0.51;0.00625;0.06;0;0;0.000204712;-20.085;-45.2947;1;0.350208159;0.635666012
0.41;0;0;0;0;0.932643513;-2.76141;-42.2755;1;0.794140741;0.702547094
0.31;0.02;0.12;0;0;0.521255021;-14.2021;-41.6696;2;0.500962765;0.715968944
0.576;0.00625;0.118;0;0;0.588854313;-21.5556;-45.4364;1;0.312522711;0.632527085
0.5;0.0175;0.428;0;0;0.791826987;-11.3809;-37.6623;1;0.573258554;0.80473834
0.54;0.055;0.48;0;0;0.047648735;-11.2557;-40.9432;3;0.576466916;0.7320601
0.486;0.03825;0.2;0;0;0.013574298;-15.452;-47.6089;1;0.468932953;0.584402034
0.48;0.0125;0.101;0;0;0.677011466;-26.5716;-52.3229;1;0.183983198;0.479977875
0.49;0.00275;0.15;0;0;0.725877689;-20.369933;-44.687822;3;0.342906495;0.649109526
0.526;0.043;0.3;0;0;0.040813999;-7.79342;-37.7946;1;0.665190957;0.801807641
0.464;0.0495;0.15;0;0;0.030281046;-9.06596;-68.6571;1;0.632580974;0.118143952
0.533;0.0085;0.105;0;0;0.678637859;-8.13436;-41.1431;2;0.656454062;0.727631931
0.44;0.0575;0.1;1;0;0;-10.012;-37.8932;3;0.608337848;0.799623462
0.481;0.05525;0.038;0;0;0.829003453;-21.7309;-46.9743;1;0.308030491;0.598459644
0.56;0.0005;0.16;0;0;0.065584713;-2.53874;-44.2825;1;0.79984686;0.658088187
0.52;0.0575;0.1;0;0;0.341140151;-15.4572;-39.6458;1;0.468799698;0.760800003
0.51;0.0395;0.5;0;0;0.527290771;-14.637;-39.5556;1;0.489818061;0.762798107
0.193;0.0845;0.35;;;0.695288804;-3.672652;-43.110925;3;0.770789344;0.684040825
0.56;0.00575;0.18;1;0;0;-5.25476;-44.6444;3;0.730246403;0.650071407
0.514;0.00125;0.06;0;0;0.978174167;-7.556729;-34.993641;2;0.671256376;0.863854266
0.557;0.0125;0.142;1;0;0.708838469;-8.81175;-36.0137;1;0.639095334;0.841257999
0.54;0.0035;0.25;0;0;0.046190315;-8.81175;-36.0137;1;0.639095334;0.841257999
0.501;0.0005;0.166;0;0;0.008503845;-10.0326;-44.3002;1;0.607809954;0.657696098
0.45;0.011;0.14;0;0;0.926710743;-32.06923;-52.09643;1;0.043101482;0.48499462
0.5;0.075;0.1;0;0;0;-15.452;-47.6089;1;0.468932953;0.584402034
0.48;0.0115;0.1;0;1;0.237945341;-2.94644;-45.6589;3;0.78939918;0.627598282
0.56;0.0625;0.061;0;0;0.009938933;-6.02751;-38.3461;3;0.710443989;0.789590856
0.58;0.003;0.007;1;0;0.167613055;-10.3545;-38.2213;3;0.599560977;0.792355416
0.2;0.0025;0.2;0;0;0.253511636;-28.0667;-53.6992;3;0.145669915;0.449490185
0.328;0;0.025;0;0;0;-8.81175;-36.0137;1;0.639095334;0.841257999
