pH;Turbidez;CRL;Coliformes;Ecoli;Precipitação;Latitude;Longitude;Manancial;Lat_Norm;Long_Norm
0.433;0.0005;0.15;0;0;0;-11.18365;-37.99933;1;0.578313262;0.797272478
0.629;0.045;0.059;0;0;0.060367029;-21.1204;-42.9359;1;0.323675103;0.687917965
0.376;0.0025;0.03;0;0;0.130290437;-3.40787;-44.0234;1;0.777574621;0.66382775
0.519;0;0.05;0;0;0.779840867;-7.35819;-46.6225;1;0.676344117;0.60625269
0.662;0.00025;0.168;0;0;0.196098946;-29.4747;-52.0843;;0.109588648;0.485263323
0.519;0.007;0.15;1;0;0.017865464;-11.8881;-49.1609;3;0.560261097;0.550022252
0.48;0.0005;0.029;0;0;0.436566375;-21.9707;-46.7944;1;0.3018854;0.602444775
0.52;0.01775;0.2;0;0;1;-5.25476;-44.6444;3;0.730246403;0.650071407
0.448;0.039;0.05;0;0;0.472316684;-22.8429;-42.1026;2;0.27953449;0.706377162
0.54;0.07575;0.05;0;0;1;-8.81175;-36.0137;1;0.639095334;0.841257999
0.57;0.0425;0.03;0;0;0.74309525;-12.7026;-44.0075;1;0.539388802;0.664179966
0.59;0.00225;0.2;0;0;0.745679374;-7.21276;-44.1889;3;0.680070891;0.660161607
0.519;0.004;0.15;0;0;6.13761E-05;-8.72073;-39.1162;1;0.641427803;0.772531661
0.462;0.028;0.08;0;0;0.917588461;-4.2416;-69.9383;1;0.75620954;0.08976291
0.48;0.285;0.08;0;0;0.016401142;-18.2195;-42.4946;3;0.398013275;0.697693608
0.64;0.030575;0.345;0;0;0;-10.3524;-37.7002;1;0.599614791;0.803898783
0.51;0.01925;0;0;0;0.149452767;-17.2183;-40.0974;2;0.423669926;0.750796195
0.506;0.019;0.179;0;0;0.063564227;-9.06596;-68.6571;1;0.632580974;0.118143952
0.568;0.0175;0.1;0;0;0.357608738;-15.4993;-49.6861;1;0.467720848;0.538388062
0.5;0.075;0.1;0;0;0.906069507;-31.7649;-52.3371;3;0.050900212;0.479663317
0.278;0.025;0.551;1;0;0.915307799;-7.94704;-35.3801;2;0.661254306;0.855293456
0.48;0.063;0.123;0;0;0.057656839;-18.0873;-42.5659;1;0.401401019;0.696114176
0.3;0.0115;0.15;0;0;0.745680111;-18.3609;-42.5981;1;0.394389773;0.695400884
0.52;0.0275;0.01;1;0;0.102858693;-4.92673;-37.9721;1;0.738652467;0.797875675
0.384;0.0005;0.083;0;1;0.303790687;-9.34382;-38.2544;1;0.625460561;0.791622187
0.502;0.043;0.347;0;0;0;-7.86565;-35.5787;2;0.663339998;0.850894085
0.54;0.00125;0.2;0;0;0.007351476;-18.6238;-50.0805;3;0.387652724;0.529651344
0.525;0.0035;0.029;0;0;0.762424333;-29.4747;-52.0843;;0.109588648;0.485263323
0.401;0.00375;0.103;0;0;0.121543729;-19.39499;-41.17047;1;0.367890286;0.727025633
0.5;0.0075;0.258;;;0.030281046;-9.06596;-68.6571;1;0.632580974;0.118143952
0.54;0.0025;0.03;0;0;0.030281046;-9.06596;-68.6571;1;0.632580974;0.118143952
0.42;0;0.084;0;0;1;-28.1233;-54.8373;3;0.144219489;0.424279082
0.513;0.02075;0.03;0;0;0.435767133;-29.4747;-52.0843;;0.109588648;0.485263323
0.568;0.001;0.02;0;0;0.455475571;-26.9592;-50.4252;1;0.174050599;0.522015577
0.285;0;0.168;1;0;0.162273597;-28.1233;-54.8373;3;0.144219489;0.424279082
0.513;0.025;0.122;0;0;0.754219839;-18.5441;-42.5583;1;0.389695108;0.696282531
0.48;0.001;0.128;0;0;0.287761319;-3.53639;-43.917;1;0.774281181;0.666184715
0.52;0.01;0.05;0;0;0.103413143;-21.0886;-48.6607;3;0.324490006;0.561102643
0.494;0;0.1;0;0;0.259813521;-27.0996;-51.2473;3;0.170452723;0.503804482
0.355;0.0275;0.12;0;0;0.226497461;-20.3022;-45.53863;1;0.344642214;0.630262494
0.504;0.001;0.2;0;0;0.051019989;-11.6858;-41.7677;1;0.565445217;0.71379584
0.48;0.0325;0.017;0;0;0.865738112;-5.79357;-35.1986;3;0.716438912;0.85931403
0.51;0.0875;0.137;0;0;1;-21.0274;-41.6636;1;0.326058311;0.716101855
0.502;0.003;0.118;0;0;1;-28.2448;-49.0215;3;0.141105942;0.55311023
0.44;0.051;0;0;0;0.15061334;-15.452;-47.6089;1;0.468932953;0.584402034
0.57;0.001;0.051;0;0;0;-26.9985;-51.5528;1;0.173043501;0.49703707
0;0.06;0.131;1;0;0.634717756;-10.2806;-67.1371;2;0.601454731;0.151814874
0.38;0.085;0.108;0;0;0.144605628;-15.2429;-40.63;1;0.474291329;0.738998082
0.501;0.0005;0.187;0;0;0.455106086;-19.82;-40.2764;1;0.356999023;0.746831001
0.532;0;0.057;0;0;0.28750277;-23.7067;-46.4058;1;0.257398838;0.611053012
0.48;0.0125;0.1;0;1;0.358200443;-7.79342;-37.7946;2;0.665190957;0.801807641
0.431;0.01725;0.04;0;0;0.061876836;-8.23599;-41.6873;3;0.653849702;0.715576855
0.43;0.00175;0.2;0;0;0.179767244;-2.88769;-40.1183;3;0.790904702;0.75033322
0.542;0;0.055;0;0;0.514127547;-10.4374;-39.3321;3;0.59743659;0.767749061
0.533;0.0175;0.55;0;0;0.063520518;-11.5266;-61.0252;1;0.56952486;0.287205205
0.359;0.009;0.08;1;0;0.861273507;-3.83053;-62.0658;3;0.766743579;0.264153915
0.5;0.07225;0.1;0;0;0.051798518;-14.0334;-42.1328;2;0.505285854;0.705708174
0.511;0.00275;0.1;0;0;0.290437355;-9.06596;-68.6571;1;0.632580974;0.118143952
0.6;0.03175;0.299;1;0;1;-27.0026;-51.4084;1;0.172938435;0.500235807
0.48;0.00225;0.117;0;0;0;-26.8782;-49.8328;3;0.176126297;0.535138375
0.65;0.00325;0.125;0;0;0.175942862;-21.5556;-45.4364;1;0.312522711;0.632527085
0.447;0.02325;0.01;0;0;1;-8.50957;-35.3698;1;0.646838968;0.855521621
0.531;0.0055;0.062;1;1;0;-2.83939;-44.062;1;0.792142433;0.662972686
0.344;0.04575;1.02;1;1;0.01835712;-2.83939;-44.062;1;0.792142433;0.662972686
0.43;0.00025;0.186;0;0;0.485173713;-19.1736;-41.863;1;0.373563604;0.711684762
0.486;0.0205;0.02;1;0;0.470000552;-11.5569;-43.2766;1;0.568748395;0.680370805
0.318;0.0005;0.15;1;0;0.102858693;-4.92673;-37.9721;1;0.738652467;0.797875675
0.52;0.0185;0.05;0;0;0.020665005;-7.74312;-37.631;2;0.666479939;0.805431696
0.48;0;0.401;0;0;0.056378454;-23.6022;-46.919;1;0.260076744;0.599684645
0.52;0.00275;0.08;0;0;0.462684781;-15.4342;-39.3287;2;0.469389094;0.767824378
0.51;0.108;0.109;1;0;1;-10.4374;-39.3321;3;0.59743659;0.767749061
0.41;0.0005;0.203;0;0;0.622154595;-23.5057;-46.879;2;0.262549644;0.600570722
0.48;0.00175;0.05;0;0;0.164706687;-12.9417;-39.5191;1;0.533261649;0.763606652
0.62;0.02;0.042;0;0;0.881122048;-14.5003;-42.2229;2;0.493321122;0.703712286
0.55;0.0005;0.02;0;0;0.002699527;-2.72094;-42.5258;3;0.795177821;0.697002468
0.53;0;0.05;0;0;1;-22.2445;-43.7129;1;0.294869029;0.670705922
0.51;0.0193;0.2;0;0;0.087050605;-15.452;-47.6089;1;0.468932953;0.584402034
0.4;0.0125;0;0;0;0.447444685;-13.0235;-39.0108;1;0.531165451;0.774866474
0.446;0.0425;0.179;0;0;1;-26.62;-53.6716;1;0.182742904;0.450101578
0.56;0.005;0.189;0;0;0;-27.1008;-53.4032;1;0.170421971;0.456047153
0.479;0.016;0.35;0;0;0.678944732;-14.1615;-40.0131;1;0.502003177;0.752663602
0.16;0.006;0;0;0;0.048698332;-14.5003;-42.2229;2;0.493321122;0.703712286
0.437;0.0025;0.1;0;0;0.045033979;-10.2569;-40.1999;2;0.602062065;0.748525623
0.555;0.003;0.139;0;0;0.179767244;-2.88769;-40.1183;3;0.790904702;0.75033322
0.459;0.00125;0.154;0;0;0.070861551;-18.7755;-41.4781;1;0.383765275;0.720211037
0.472;0.0005;0;0;0;0.142165493;-20.3531;-41.5334;1;0.343337855;0.718986036
0.49;0.0275;0.251;0;0;0.435767133;-29.4747;-52.0843;;0.109588648;0.485263323
0.379;0.015;0.02;;;0.259254599;-9.06596;-68.6571;1;0.632580974;0.118143952
0.561;0.015;0.2;0;0;0.016019584;-14.4662;-48.4599;1;0.494194965;0.565550749
0.68;0.03;0.004;0;0;0.658117299;-3.40202;-44.3508;1;0.777724533;0.656575211
0.422;0;0.197;0;0;0.502327908;-26.635;-52.4556;3;0.182358516;0.477038315
0.52;0.02225;0.196;0;1;0.944303714;-3.77191;-49.5735;2;0.768245769;0.540882369
0.79;0;0.146;0;0;0.276882054;-27.4242;-51.7668;1;0.162134555;0.492296558
0.37;0.013;0.015;0;0;0.18001422;-4.39154;-59.5874;3;0.752367192;0.319055238
0.422;0.0025;0.15;0;0;0.553464333;-19.4231;-42.2552;3;0.367169942;0.702996778
0.525;0.033;0.22;0;0;0.180739119;-26.7665;-53.1737;1;0.17898871;0.46113102
0.52;0.00925;0.161;0;0;0.481086093;-18.9844;-41.6527;1;0.378412024;0.716343311
0.55;0;0.08;0;0;0;-18.486517;-47.125252;1;0.391170724;0.595115767
0.456;0.01475;0.066;0;0;0;-22.7421;-46.3728;1;0.282117581;0.611784025
0.58;0.001;0.15;0;0;1;-22.2386;-45.4654;1;0.295020221;0.631884679
0.569;0.0125;0.051;0;0;0.21519969;-26.6809;-53.3172;1;0.181182287;0.457952219
0.58;0.033;0.15;0;0;0.348534356;-26.8621;-52.1549;1;0.176538874;0.483699398
0.581;0.0025;0.08;0;0;0.780737018;-12.9822709;-38.4778317;1;0.532221983;0.786672746
0.5;0;0.125;1;0;0.043158314;-17.2828;-42.7285;1;0.422017056;0.692512274
0.47;0.001;0.1;0;0;0.379089062;-8.23599;-41.6873;3;0.653849702;0.715576855
0.48;0.0075;0.032;;;0.760884376;-9.00744;-35.2267;3;0.634080602;0.858691561
0.25;0.02475;0.2;0;0;0.197077039;-7.70734;-37.8446;1;0.667396834;0.800700045
0.51;0.055;0.106;0;0;0.383107497;-14.3598;-40.2064;1;0.496921561;0.748381636
0.509;0.006;0.08;1;0;0.795367218;-16.165302;-49.22827;1;0.450653947;0.548529877
0.554;0.0185;0.052;0;0;0.055914949;-10.705793;-37.314877;1;0.590558778;0.812434428
0.49;0.017;0.08;0;0;0.008360336;-6.02751;-38.3461;3;0.710443989;0.789590856
0.45;0.01;0.102;0;0;0.315226994;-27.1591;-50.4659;3;0.168927981;0.521113994
0.39;0.0235;0.172;;;0.083311223;-16.6173;-48.9616;3;0.439071092;0.55443713
0.458;0.0635;0.2;0;0;0;-10.2534;-36.8856;2;0.602151756;0.821943738
0.45;0.02175;0.13;0;0;0.389503934;-11.1397;-37.6195;1;0.579439521;0.805686443
0.308;0.0315;0.01;;;0.107375632;-3.620488;-43.109697;3;0.772126094;0.684068028
0.69;0;0;0;0;0.379387524;-26.8451;-52.2596;1;0.176974514;0.481380091
0.524;0.00975;0.2;0;0;0.000645977;-8.9695;-39.0979;1;0.635052848;0.772937041
0.513;0.016;0.065;0;0;0.15756695;-10.6825;-38.2907;3;0.591155682;0.790818073
0.549;0.00275;0.26;0;0;0.174252276;-7.79342;-37.7946;1;0.665190957;0.801807641
0.66;0.01025;0.1;0;0;0.466628254;-12.0063;-44.7003;1;0.557232116;0.648833114
0.43;0;0.115;0;0;0.845375366;-7.74312;-37.631;2;0.666479939;0.805431696
0.472;0;0.08;;;0.00703755;-12.0063;-44.7003;1;0.557232116;0.648833114
0.5;0.025;0.1;0;0;0.315529922;-18.4859;-49.4766;1;0.391186536;0.54302889
0.522;0.0005;0.06;0;0;0.761992543;-14.4054;-43.5595;1;0.49575302;0.674104027
0.53;0.00675;0.1;0;0;0.041232888;-12.6187;-38.2926;3;0.541538815;0.790775984
0.48;0.0075;0.05;0;0;0.199286762;-12.2816;-40.4931;1;0.550177306;0.74203068
0.445;0.0025;0.01;;;0.090599818;-10.3524;-37.7002;1;0.599614791;0.803898783
0.293;0.02275;0.093;0;0;0.002180358;-2.88769;-40.1183;3;0.790904702;0.75033322
0.353;0.0175;0.1;0;0;0.169205163;-7.33931;-34.59663;2;0.676827934;0.872648823
0.47;0.0005;0.05;0;0;0.509379146;-18.6238;-50.0805;3;0.387652724;0.529651344
0.54;0.017;0.097;0;0;0.924435963;-20.2563;-45.2107;1;0.345818443;0.637526773
0.45;0.02125;0.111;0;0;0.978174167;-7.558513;-34.9959;2;0.67121066;0.863804225
0.394;0.0325;0.06;1;0;0.486394061;-27.0996;-51.2473;3;0.170452723;0.503804482
0.52;0;0.42;0;0;1;-8.81175;-36.0137;1;0.639095334;0.841257999
0.563;0.00275;0;0;0;0.42156082;-27.0019;-51.2442;3;0.172956373;0.503873153
0.62;0.00325;0.009;0;0;0.030281046;-9.06596;-68.6571;1;0.632580974;0.118143952
0.43;0.0005;0.097;0;0;0.564201924;-11.2329;-38.4871;3;0.577051187;0.786467435
0.481;0.02875;0.15;0;0;0.013327255;-18.5441;-42.5583;1;0.389695108;0.696282531
0.54;0.00425;0.5;0;0;0.299918666;-8.88937;-35.1515;1;0.637106252;0.860357386
0.47;0.0875;0.108;0;0;0.003436022;-2.76141;-42.2755;1;0.794140741;0.702547094
0.552;0.012;0.155;0;0;0.340617344;-27.0545;-52.069;1;0.171608451;0.485602248
0.53;0.0125;0.126;0;0;0.135193043;-8.23599;-41.6873;3;0.653849702;0.715576855
0.565;0.0275;0.3;0;0;0.831291876;-7.72449;-35.3182;1;0.66695735;0.85666466
0.461;0.02175;0.2;0;0;0.053013507;-22.0572;-46.9735;1;0.29966876;0.598477365
0.423;0.0035;0.024;0;0;0.011151268;-10.5849;-36.9418;1;0.59365677;0.8206988
0.493;0.00375;0.1;0;0;0.04871378;-21.4647;-47.0024;1;0.314852105;0.597837175
0.48;0.03675;0.082;0;0;0.095600621;-3.83053;-62.0658;3;0.766743579;0.264153915
0.527;0.0085;0.135;0;0;0.435767133;-29.4747;-52.0843;;0.109588648;0.485263323
0.52;0.01125;0.05;0;0;0.179767244;-2.88769;-40.1183;3;0.790904702;0.75033322
0.454;0.0025;0.152;1;1;0.730173691;-7.21319;-40.1359;2;0.680059872;0.749943346
0.44;0.01175;0.074;0;0;0.01123504;-11.3486;-41.6548;1;0.57408627;0.716296792
0.254;0.1785;0.2;0;0;0.209530394;-26.3754;-48.7188;1;0.189010999;0.559815616
0.52;0.015;0.03;1;0;0.289623296;-8.6592;-35.1532;2;0.643004565;0.860319728
0.53;0.03;0.075;0;0;0.025955704;-19.2199;-42.4828;1;0.372377125;0.697955001
0.372;0.0005;0.019;0;0;0.084338358;-12.9899144;-38.5168805;1;0.532026112;0.78580774
0.503;0.01075;0.114;1;0;0.790134327;-8.81175;-36.0137;1;0.639095334;0.841257999
0.47;0.005;0.15;0;0;0.822229375;-7.5599814;-35.002049;3;0.671173031;0.863668013
0.56;0.0225;0.2;0;0;0.865921641;-11.8881;-49.1609;3;0.560261097;0.550022252
0.5;0.0325;0.092;;;0.168213702;-3.623841;-43.107073;3;0.77204017;0.684126154
0.71;0.16;0.02;0;0;0.591243893;-5.35875;-42.6776;3;0.727581566;0.693639807
0.477;0.00825;0.053;0;0;0.449056745;-9.0516097;-36.6257358;2;0.632948713;0.82770023
0.499;0.00375;0.076;0;0;0.229758246;-23.9211;-48.6948;1;0.251904645;0.560347262
0.66;0;0;0;0;0.50203365;-20.6229;-41.6937;1;0.336423988;0.715435083
0.56;0.03;0.105;1;1;0.106490445;-26.7665;-53.1737;1;0.17898871;0.46113102
0.6;0.025;0.124;1;1;0.01835712;-2.83939;-44.062;1;0.792142433;0.662972686
0.521;0.0015;0.2;0;0;0;-14.5003;-42.2229;2;0.493321122;0.703712286
0.5;0.004;0.111;0;0;0.580974648;-8.13436;-41.1431;2;0.656454062;0.727631931
0.482;0.038;0.06;1;1;0.290437355;-9.06596;-68.6571;1;0.632580974;0.118143952
0.603;0;0.08;0;0;0.006372618;-4.38541;-44.6654;3;0.752524279;0.649606216
0.581;0.0175;0.062;0;0;0;-19.5047714;-45.0639102;1;0.365077039;0.64077845
0.48;0.0135;0.3;0;1;0.290437355;-9.06596;-68.6571;1;0.632580974;0.118143952
0.392;0.4425;0.15;0;0;0.387833812;-12.1144;-43.8958;1;0.554461956;0.666654335
0.437;0.0025;0.07;1;0;0;-13.6908;-39.4762;1;0.514065288;0.764556969
0.48;0.0225;0.15;0;0;0.489516178;-14.0334;-42.1328;2;0.505285854;0.705708174
0.395;0;0.08;0;0;0.155445689;-26.8992;-49.2354;1;0.175588153;0.548371933
0.506;0.04;0.2;0;0;0.560826793;-8.41519;-37.0577;2;0.649257541;0.818131392
0.35;0.01;0.03;0;0;0.791826987;-11.3809;-37.6623;1;0.573258554;0.80473834
0.48;0.0025;0.1;0;0;0.492508005;-18.4276;-42.8628;1;0.392680525;0.689537271
0.473;0.00525;0.1;0;0;0.791826987;-11.3809;-37.6623;1;0.573258554;0.80473834
0.55;0.02;0.3;1;1;0.266970991;-28.1233;-54.8373;3;0.144219489;0.424279082
0.517;0.00875;0.05;0;0;0.853847246;-32.05767;-52.15321;1;0.043397718;0.483736834
0.272;0.0185;0.55;0;0;0.584812645;-8.41519;-37.0577;2;0.649257541;0.818131392
0.564;0.00475;0.2;0;0;1;-14.9444;-41.7168;2;0.48194066;0.714923373
0.379;0.0105;0.2;0;0;0.293862005;-8.65791;-36.3293;2;0.643037622;0.834266852
0.5;0.0105;0.045;0;0;0.79976671;-15.452;-47.6089;1;0.468932953;0.584402034
0.52;0.02;0.05;0;0;0.1691761;-13.2618;-40.3695;2;0.525058799;0.744768658
0.5;0.0225;0.15;0;0;1;-9.11125;-37.1226;1;0.631420377;0.816693733
0.468;0.0025;0.08;0;0;0.79976671;-15.452;-47.6089;1;0.468932953;0.584402034
0.5;0.03975;0.09;0;0;0;-3.46788;-43.9134;1;0.776036811;0.666264462
0.52;0.0005;0.277;0;0;0.226110188;-25.4195;-49.2646;2;0.213506797;0.547725097
0.46;0.07225;0.15;0;0;0.693237452;-8.23599;-41.6873;3;0.653849702;0.715576855
0.46;0.0005;0.106;0;0;0.637546446;-19.7456;-44.8945;1;0.35890559;0.644531211
0.484;0.0075;0.03;0;0;0.034295784;-8.88937;-35.1515;1;0.637106252;0.860357386
0.4;0.07625;0.1;0;0;0.046766786;-8.6592;-35.1532;2;0.643004565;0.860319728
0.518;0.02675;0.104;0;0;0.847485945;-10.2806;-67.1371;2;0.601454731;0.151814874
0.524;0.001;0.1;0;0;0.826133051;-26.62;-53.6716;1;0.182742904;0.450101578
0.46;0.0475;0.089;0;0;0.537612402;-4.2416;-69.9383;1;0.75620954;0.08976291
0.48;0.125;0;0;0;0.717101415;-3.46788;-43.9134;1;0.776036811;0.666264462
0.663;0.00125;0.06;0;0;1;-3.40202;-44.3508;1;0.777724533;0.656575211
0.502;0.01025;0.054;0;0;0.628344527;-18.6238;-50.0805;3;0.387652724;0.529651344
0.324;0.0075;0.3;0;0;0.856574879;-28.1233;-54.8373;3;0.144219489;0.424279082
0.5;0.05;0.1;0;0;0.312315852;-26.7665;-53.1737;1;0.17898871;0.46113102
0.52;0.005;0.1;0;0;0.087100507;-12.0884;-38.4969;3;0.555128229;0.786250346
0.45;0;0.059;1;1;0.040813999;-7.79342;-37.7946;1;0.665190957;0.801807641
0.5;0.075;0.1;0;0;0;-27.0772;-52.1289;1;0.171026743;0.484275348
0.423;0.093;0;0;0;0.56562137;-29.3099;-49.722;1;0.113811796;0.537592808
0.652;0.0275;0.059;0;0;0.371783148;-26.9566;-49.6286;1;0.174117226;0.539661798
0.56;0.0005;0.19;0;0;0.85470903;-5.79357;-35.1986;1;0.716438912;0.85931403
0.46;0.0075;0.05;0;0;0.015566746;-20.0407;-47.7466;3;0.351343387;0.581351715
0.17;0.0435;0.247;0;0;0.399564777;-26.5716;-52.3229;1;0.183983198;0.479977875
0.499;0.001;0.2;0;0;0.034295784;-8.88937;-35.1515;1;0.637106252;0.860357386
0.5;0.015;0.175;0;0;0.847356575;-10.3524;-37.7002;1;0.599614791;0.803898783
0.4;0.075;0.06;0;0;0.396011307;-12.9822709;-38.4778317;1;0.532221983;0.786672746
0.53;0;0.149;0;0;0.686634159;-27.0055;-51.7402;2;0.17286412;0.4928858
0.45;0.03425;0.134;0;0;0.13266199;-11.5616;-37.7853;1;0.568627953;0.802013654
0.485;0.1;0.15;0;0;0;-7.62365;-36.6064;2;0.669541466;0.828128555
0.48;0.0025;0.25;0;0;0.727224327;-15.452;-47.6089;1;0.468932953;0.584402034
0.59;0.00875;0.088;0;0;0.084338358;-12.958587;-38.4673789;1;0.532828905;0.786904296
0.456;0.0005;0.24;0;0;0.746474596;-15.452;-47.6089;1;0.468932953;0.584402034
0.48;0.002;0.05;0;0;0.004029215;-15.452;-47.6089;3;0.468932953;0.584402034
0.452;0.093;0.2;0;0;0.773419409;-13.7249;-39.1481;1;0.513191444;0.771825015
0.39;0.0145;0.35;0;0;0.644989238;-13.8509;-40.0877;1;0.509962581;0.751011069
0.501;0.00425;0.08;0;0;0.005083165;-17.3019;-48.2768;1;0.421527601;0.569606766
0.413;0.0015;0.05;1;0;0.172528616;-23.5275;-46.9023;2;0.261990999;0.600054582
0.54;0.0155;0.29;0;0;0.290437355;-9.06596;-68.6571;1;0.632580974;0.118143952
0.5;0.026;0;0;0;1;-22.8058;-43.3729;1;0.280485211;0.678237575
0.4;0.0665;0.166;0;0;0.441019425;-17.3707;-40.2238;1;0.419764539;0.747996193
0.551;0.01275;0.077;0;0;0.145443708;-26.9548;-49.3783;1;0.174163353;0.545206424
0.55;0.00875;0.15;1;1;0.98110495;-7.15535;-35.8491;2;0.681542074;0.844904205
0.5;0.01525;0;0;0;0.274617756;-9.64529;-36.4928;2;0.617735121;0.830645013
0.48;0.02975;0.1;0;0;0.762424333;-29.4747;-52.0843;;0.109588648;0.485263323
0.69;0.0175;0.383;0;0;0.315226994;-27.1591;-50.4659;3;0.168927981;0.521113994
0.55;0.025;0.25;0;0;0.065878192;-8.41519;-37.0577;2;0.649257541;0.818131392
0.53;0.0025;0.2;0;0;1;-19.1541;-42.0803;3;0.374063309;0.70687115
0.36;0.0475;0.2;0;0;0.654960777;-28.6723;-49.3729;2;0.13015087;0.545326044
0.649;0.0025;0.02;0;0;0.294132503;-26.7665;-53.1737;1;0.17898871;0.46113102
0.52;0.0525;0.042;0;0;0.503392536;-27.0754;-52.9808;1;0.171072869;0.465404125
0.267;0.0125;0.183;0;0;0.178469552;-27.4242;-51.7668;1;0.162134555;0.492296558
0.526;0.025;0.307;0;0;0.00595413;-7.06092;-36.5793;2;0.683961928;0.828728872
0.45;0.035;0.231;0;0;0;-10.3524;-37.7002;1;0.599614791;0.803898783
0.52;0.0785;0.002;0;0;0.315468381;-26.7151;-48.9322;1;0.180305881;0.555088396
0.46;0.02;0.182;0;0;0.25264535;-26.635;-52.4556;3;0.182358516;0.477038315
0.59;0.045;0.093;0;0;0.732796401;-2.83939;-44.062;1;0.792142433;0.662972686
0.48;0.057;0.3;1;0;0.874484618;-13.0092;-39.1092;1;0.531531901;0.772686725
0.437;0.004;0.09;0;0;0.05405097;-5.25476;-44.6444;3;0.730246403;0.650071407
0.47;0.0025;0.55;0;0;0.861273507;-3.83053;-62.0658;3;0.766743579;0.264153915
0.678;0;0.008;0;0;0.80085416;-12.2429;-41.6155;3;0.551169028;0.717167363
0.45;0.04775;0.165;0;0;0.895598236;-29.4747;-52.0843;;0.109588648;0.485263323
0.439;0.00125;0.007;0;0;0.010727701;-19.9822;-44.8593;1;0.352842502;0.645310959
0.53;0.005;0.076;0;0;0.432826633;-26.8621;-52.1549;1;0.176538874;0.483699398
0.5;0.02475;0.09;0;0;0.175942862;-21.5556;-45.4364;1;0.312522711;0.632527085
0.54;0.01;0.05;0;0;0.9476369;-21.9707;-46.7944;1;0.3018854;0.602444775
0.47;0.0415;0.035;0;0;1;-10.8222087;-36.86242;3;0.587575521;0.82245722
0.53;0;0.029;1;0;0.486394061;-27.0996;-51.2473;3;0.170452723;0.503804482
0.49;0.0185;0.12;0;0;0.367325191;-12.6187;-38.2926;3;0.541538815;0.790775984
0.51;0.005;0.4;0;0;0.49797532;-20.6931;-41.8405;1;0.33462505;0.71218318
0.48;0.04875;0.25;0;0;0.014785451;-18.2195;-42.4946;3;0.398013275;0.697693608
0.453;0.0005;0.05;0;0;0.305457546;-27.0287;-51.9012;3;0.172269599;0.48931934
0.454;0.0025;0.15;0;0;0.209530394;-26.3754;-48.7188;1;0.189010999;0.559815616
0.453;0.0025;0.04;0;0;0.226171338;-27.0996;-51.2473;3;0.170452723;0.503804482
0.51;0.08425;0.1;0;0;0.455475571;-26.9592;-50.4252;1;0.174050599;0.522015577
0.49;0.0175;0.55;0;0;0.443267158;-11.8219;-42.6179;3;0.561957532;0.694962276
0.56;0.00925;0.094;0;0;0.629605998;-7.90287;-35.1716;1;0.662386202;0.859912132
0.53;0.027;0.13;1;0;0.197077039;-7.70734;-37.8446;1;0.667396834;0.800700045
0.5;0.0335;0.1;0;0;0.588854313;-21.5556;-45.4364;1;0.312522711;0.632527085
0.49;0.0005;0.13;0;0;0.458004132;-15.5302;-40.9124;1;0.466929008;0.732742379
0.443;0.03475;0.06;0;0;0.836589388;-4.2416;-69.9383;1;0.75620954;0.08976291
0.18;0.03825;0.018;0;0;0.746474596;-15.452;-47.6089;1;0.468932953;0.584402034
0.507;0.0085;0.129;0;0;0.179767244;-2.88769;-40.1183;3;0.790904702;0.75033322
0.405;0.0275;0.134;;;0.649797036;-23.0818;-50.7511;3;0.273412463;0.514796265
0.479;0.00675;0.093;0;0;0.359677024;-8.08546;-37.6443;2;0.657707169;0.805137075
0.529;0.0235;0.05;0;1;0.494077552;-14.5003;-42.2229;2;0.493321122;0.703712286
0.3;0;0.05;1;0;0.420985148;-22.2445;-43.7129;1;0.294869029;0.670705922
0.5;0.0005;0.2;0;0;0.093853564;-12.8394;-39.0893;1;0.535883179;0.773127548
0.454;0.0025;0.05;1;0;0.117033551;-18.6238;-50.0805;3;0.387652724;0.529651344
0.45;0.115;0.07;0;0;0.295113117;-14.3195;-39.469;1;0.497954284;0.764716463
0.58;0.00275;0.01;0;0;0.184353585;-13.6541;-40.2119;1;0.515005758;0.7482598
0.469;0.01;0.15;0;0;0.292460712;-10.3182;-38.4014;3;0.600491197;0.788365855
0.49;0.0075;0.114;0;0;0.276174361;-14.5003;-42.2229;2;0.493321122;0.703712286
0.531;0.0075;0.15;0;0;0.179767244;-2.88769;-40.1183;3;0.790904702;0.75033322
0.569;0.0475;0.042;;;0.495682445;-18.59;-41.9166;1;0.388518879;0.710497419
0.46;0;0.08;0;0;0.394131774;-10.3545;-38.2213;3;0.599560977;0.792355416
0.46;0.014;0.182;0;0;0.469164783;-18.6631;-41.4052;3;0.386645626;0.721825912
0.77;0.0165;0;0;0;0.81504065;-26.624;-53.1997;1;0.1826404;0.46055507
0.48;0.0075;0.2;0;0;1;-4.15002;-42.9477;1;0.75855636;0.687656573
0.526;0.07675;0.02;0;0;0.021445056;-14.2021;-41.6696;2;0.500962765;0.715968944
0.51;0.1185;0.3;0;0;0.778764001;-10.012;-37.8932;3;0.608337848;0.799623462
0.498;0.00125;0.2;;;0.699907444;-18.4276;-42.8628;1;0.392680525;0.689537271
0.46;0.355;0.136;0;0;0.396011307;-12.9735981;-38.4259731;1;0.532444232;0.787821514
0.56;0.06;0.1;1;0;0.132610411;-27.0996;-51.2473;3;0.170452723;0.503804482
0.57;0.0125;0.087;0;0;0.79976671;-15.452;-47.6089;1;0.468932953;0.584402034
