Nitrato;pH;Turbidez;CRL;Coliformes;Ecoli
0.22;;;;;
0.34;;;;;
0.25;;;;;
0.18;;;;;
0.22;;;;;
0.47;;;;;
0.56;;;;;
0.34;;;;;
0.18;;;;;
0.23;;;;;
0.31;;;;;
1.38;;;;;
1.18;;;;;
0.26;;;;;
0.17;;;;;
0.48;;;;;
1.4;;;;;
0.34;;;;;
0.61;;;;;
1.4;;;;;
0.78;;;;;
0.13;;;;;
1.15;;;;;
0.76;;;;;
0.23;;;;;
0.6;;;;;
0.84;;;;;
1.05;;;;;
1.18;;;;;
1.42;;;;;
0.7;;;;;
1.55;;;;;
0.9;;;;;
1.02;;;;;
1.3;;;;;
0.96;;;;;
1.27;;;;;
1.44;;;;;
1.29;;;;;
0.84;;;;;
0.78;;;;;
1.46;;;;;
0.7;;;;;
0.73;;;;;
0.95;;;;;
0.78;;;;;
0.51;;;;;
1.03;;;;;
0.71;;;;;
1.11;;;;;
0.96;;;;;
0.26;;;;;
1.31;;;;;
3.45;;;;;
1.93;;;;;
1.67;;;;;
1.29;;;;;
0.37;;;;;
0.46;;;;;
0.53;;;;;
0.25;;;;;
0.31;;;;;
0.17;;;;;
0.34;;;;;
0.27;;;;;
0.4;;;;;
0.34;;;;;
0.48;;;;;
0;;;;;
0.55;;;;;
0.32;;;;;
0.28;;;;;
0.48;;;;;
0.31;;;;;
0.27;;;;;
0.32;;;;;
0.25;;;;;
0.24;;;;;
0.28;;;;;
0.45;;;;;
0.31;;;;;
0.47;;;;;
0.24;;;;;
0.46;;;;;
0.28;;;;;
0.2;;;;;
0.29;;;;;
0.21;;;;;
0.47;;;;;
0.51;;;;;
0.96;;;;;
0.52;;;;;
1.09;;;;;
0.64;;;;;
1.5;;;;;
0.6;;;;;
0.13;;;;;
0.49;;;;;
1.15;;;;;
0.22;;;;;
0.19;;;;;
0.18;;;;;
0.35;;;;;
0.14;;;;;
0.2;;;;;
0.28;;;;;
0.53;;;;;
0.44;;;;;
0.41;;;;;
0.31;;;;;
0.37;;;;;
0.24;;;;;
0.27;;;;;
0.27;;;;;
0.22;;;;;
0.52;;;;;
0.39;;;;;
0.44;;;;;
0.48;;;;;
0.44;;;;;
0.26;;;;;
0.18;;;;;
0.21;;;;;
0.22;;;;;
0.31;;;;;
0.21;;;;;
0;;;;;
0.3;;;;;
0.14;;;;;
0.25;;;;;
0;;;;;
0;;;;;
0.4;;;;;
0.48;;;;;
0.54;;;;;
0.36;;;;;
0.36;;;;;
0.36;;;;;
0.12;;;;;
0.37;;;;;
0.3;;;;;
1.36;;;;;
1.36;;;;;
0.47;;;;;
0.23;;;;;
0.79;;;;;
0.73;;;;;
0.69;;;;;
1.16;;;;;
0.9;;;;;
0.27;;;;;
0.25;;;;;
0.87;;;;;
1.3;;;;;
0.9;;;;;
0.3;;;;;
0.13;;;;;
0.25;;;;;
0.51;;;;;
0.53;;;;;
0.6;;;;;
1.4;;;;;
0.7;;;;;
1;;;;;
0.74;;;;;
0.35;;;;;
1;;;;;
1.48;;;;;
0.59;;;;;
0.92;;;;;
0.56;;;;;
0.9;;;;;
0.84;;;;;
0.66;;;;;
1.11;;;;;
1.85;;;;;
1.95;;;;;
1.48;;;;;
1.76;;;;;
0.71;;;;;
0.97;;;;;
0.68;;;;;
0.61;;;;;
0.99;;;;;
0.71;;;;;
1.31;;;;;
0.13;8.32;1.27;0.24;;0
0.11;;;;;
0;;;;;
0.25;;;;;
0.14;;;;;
0.29;;;;;
0.34;;;;;
0.29;;;;;
0.29;;;;;
0.47;;;;;
0.52;;;;;
8.16;;;;;
0.56;;;;;
0.496;;;;;
0.36;;;;;
0.61;;;;;
0.36;;;;;
0.91;;;;;
0.56;;;;;
0.27;;;;;
0.54;;;;;
0.21;;;;;
0.22;;;;;
0.32;;;;;
0.22;;;;;
1.03;;;;;
0.46;;;;;
0.46;;;;;
0.14;;;;;
0.42;;;;;
0.36;;;;;
0.24;;;;;
0.35;;;;;
0.42;;;;;
0;;;;;
0.19;;;;;
0.19;;;;;
0.2;;;;;
0.62;;;;;
0.86;;;;;
1.37;;;;;
0.31;;;;;
1.44;;;;;
0.34;;;;;
0.45;;;;;
0.27;;;;;
0.88;;;;;
1.27;;;;;
0.15;;;;;
0.2;;;;;
0.26;;;;;
0.23;;;;;
0.35;;;;;
0.36;;;;;
0.51;;;;;
0.34;;;;;
0.39;;;;;
0.24;;;;;
0.22;;;;;
0.22;;;;;
0.29;;;;;
0.19;;;;;
0.2;;;;;
0.22;;;;;
0.26;;;;;
0.28;;;;;
0.12;;;;;
0.22;;;;;
0.14;;;;;
0.18;;;;;
0.4;;;;;
0.06;;;;;
0.28;;;;;
0.4;;;;;
0.24;;;;;
0.19;;;;;
0.51;;;;;
0.28;;;;;
0.12;;;;;
0.48;;;;;
0.51;;;;;
0.6;;;;;
0.29;;;;;
0.21;;;;;
0.12;;;;;
0.35;;;;;
0.42;;;;;
0.25;;;;;
0.34;;;;;
0.28;;;;;
0.34;;;;;
0.41;;;;;
0.25;;;;;
0.29;;;;;
0.21;;;;;
0.15;;;;;
0.49;;;;;
0.44;;;;;
0.82;;;;;
1.31;;;;;
0.64;;;;;
14.5;;;;;
10;;;;;
15;;;;;
9;;;;;
0.2;;;;;
0.4;;;;;
0.67;;;;;
0.37;;;;;
0.2;;;;;
0.29;;;;;
0.52;;;;;
0.52;;;;;
0.51;;;;;
0.26;;;;;
0.46;;;;;
0.46;;;;;
0.28;;;;;
0.32;;;;;
0.25;;;;;
0.28;;;;;
0.67;;;;;
0.46;;;;;
0.56;;;;;
0.54;;;;;
0.39;;;;;
0.51;;;;;
0.62;;;;;
0.37;;;;;
0.45;;;;;
0.31;;;;;
0.25;;;;;
0.76;;;;;
0.88;;;;;
0.85;;;;;
0.32;;;;;
0.87;;;;;
1.16;;;;;
1.35;;;;;
1.18;;;;;
1.48;;;;;
1.52;;;;;
0.88;;;;;
0.87;;;;;
1.1;;;;;
0.52;;;;;
0.25;;;;;
1.8;;;;;
0.21;;;;;
0.17;;;;;
0.86;;;;;
1.23;;;;;
0.66;;;;;
0.17;;;;;
0.26;;;;;
0.46;;;;;
15.2;;;;;
0.46;;;;;
0.64;;;;;
1.1;;;;;
0.36;;;;;
0.4;;;;;
0.12;;;;;
0.33;;;;;
0.8;;;;;
1.38;;;;;
1.42;;;;;
1.36;;;;;
0.61;;;;;
0.65;;;;;
0.4;;;;;
0.36;;;;;
0.36;;;;;
0.58;;;;;
0.95;;;;;
0.9;;;;;
0.84;;;;;
0.94;;;;;
0.91;;;;;
1.09;;;;;
0.83;;;;;
0.77;;;;;
0.97;;;;;
1.1;;;;;
0.51;;;;;
0.5;;;;;
0.29;;;;;
0.31;;;;;
0.51;;;;;
1.7;;;;;
0.94;;;;;
0.93;;;;;
0.84;;;;;
1.18;;;;;
0.43;;;;;
0.44;;;;;
0.21;;;;;
0.24;;;;;
0.2;;;;;
0.14;;;;;
0.26;;;;;
0.14;;;;;
0.84;;;;;
0.4;;;;;
0.32;;;;;
0.36;;;;;
0.19;;;;;
0.23;;;;;
0.4;;;;;
0.57;;;;;
0.19;;;;;
0.31;;;;;
0.28;;;;;
0.52;;;;;
0.27;;;;;
0.39;;;;;
0.43;;;;;
0.29;;;;;
0.7;;;;;
0.6;;;;;
0.6;;;;;
1.2;;;;;
0.48;;;;;
0.29;;;;;
0.2;;;;;
0.44;;;;;
0.32;;;;;
0.89;;;;;
0.78;;;;;
1.38;;;;;
0.78;;;;;
5.08;;;;;
1.39;;;;;
1.33;;;;;
0.18;;;;;
0.25;;;;;
0.24;;;;;
0.31;;;;;
0.37;;;;;
0.01;;;;;
0.32;;;;;
0.81;;;;;
1.4;;;;;
0.86;;;;;
0.64;;;;;
0.76;;;;;
0.69;;;;;
0;;;;;
0.12;;;;;
0;;;;;
0.4;;;;;
1.1;;;;;
1.8;;;;;
0.4;;;;;
0.33;;;;;
0.25;;;;;
0.28;;;;;
0.29;;;;;
0.34;;;;;
0.43;;;;;
0.96;;;;;
13.3;;;;;
0.9;;;;;
0.68;;;;;
1.4;;;;;
1.18;;;;;
0.35;;;;;
0.7;;;;;
0.49;;;;;
0.5;;;;;
0.52;;;;;
0.27;;;;;
0.57;;;;;
0.26;;;;;
0.95;;;;;
0.54;;;;;
1.24;;;;;
1.24;;;;;
1.32;;;;;
0.82;;;;;
0.39;;;;;
1.16;;;;;
0.6;;;;;
1.32;;;;;
0;;;;;
0.24;;;;;
1.17;;;;;
2.2;;;;;
2.17;;;;;
0.9;;;;;
0.65;;;;;
0.35;;;;;
1.46;;;;;
0.87;;;;;
0.14;;;;;
0.56;;;;;
0.99;;;;;
1.78;;;;;
0.91;;;;;
0.31;;;;;
0.28;;;;;
0.27;;;;;
0.31;;;;;
0.49;;;;;
0.51;;;;;
0.46;;;;;
0.29;;;;;
0.93;;;;;
0.23;;;;;
0.2;;;;;
0.48;;;;;
0.44;;;;;
0.26;;;;;
0.32;;;;;
0.47;;;;;
1.44;;;;;
0.3;;;;;
0.27;;;;;
0.34;;;;;
0.36;;;;;
0.04;;;;;
0.14;;;;;
0.19;;;;;
0;;;;;
0.24;;;;;
0.14;;;;;
0.94;;;;;
1;;;;;
0.88;;;;;
0.26;;;;;
1.14;;;;;
0.52;;;;;
1.36;;;;;
2.53;;;;;
0.51;;;;;
1.33;;;;;
1.29;;;;;
0.74;;;;;
1.33;;;;;
0.85;;;;;
0;;;;;
0;;;;;
0.3;;;;;
0;;;;;
0.6;;;;;
0;;;;;
0;;;;;
0.1;;;;;
0.61;6.9;0.34;1.21;0;0
0.41;7.54;0.34;1.25;0;0
0.94;8.24;0.6;1.09;;
0.3;6.75;0.34;0.8;;
0.5;;0.24;0.14;0;0
0.16;7.05;1.23;1.58;0;0
0.1;;;;;
0.23;7.19;0.34;;0;0
0.21;7.02;0.34;;0;0
0.23;6.36;0.34;0.01;1;
0.1;6.63;0.4;0.89;0;0
0.28;7.11;0.34;0.8;0;0
0.1;7.8;17.8;0.01;1;1
0.16;7.35;0.44;;0;0
0.12;7.02;0.34;;0;0
0.28;6.88;0.41;0.55;0;0
0.23;7.64;3.64;0.01;;
1.1;;;;;
0.1;7.64;8.58;;1;1
1.3;;;;;
0.37;8.1;588;;0;0
0;;;;;
;5.62;104;;1;1
0.607;;1.7;;1;0
0.36;7.29;49.8;;;
0.57;6.45;3.11;;1;1
0.61;7.81;32.3;;;
;;;;;
0.76;7.29;4.48;;1;1
0.2;7.46;18.3;;1;1
0.36;7.93;12.6;;;
10;7.28;0.34;;;0
0.14;7.31;4.77;;0;0
0.52;7.6;128;;1;1
0.31;7.17;262;;1;1
0.01;7.37;0.34;;0;0
0;;;;;
0.18;;0.34;;0;0
0;;;;;
;6.36;105;;1;1
0;;;;;
0.7;;;;;
1.3;;;;;
1.1;;;;;
1;;;;;
1.1;;;;;
1.4;;;;;
4.1;;;;;
4.7;;;;;
0.003;;;;;
0.103;;;;;
0.256;;;;;
0.201;;;;;
0.444;;;;;
0.174;;;;;
0.14;;;;;
0.028;;;;;
0.039;;;;;
0.135;;;;;
1.5;;2.2;0.05;1;1
0.07;6.92;0.153;0.1;0;0
0.215;;;;;
0.429;;;;;
2.4;;;;;
0.019;;;;;
0.258;;;;;
0.503;;;;;
0.2;;;;;
0;;;;;
7;;;;;
6.3;;;;;
2.2;;;;;
0.1;;;;;
6.4;;;;;
9.5;;;;;
3.7;;;;;
6.5;;;;;
6.6;;;;;
10;;;;;
11.8;;;;;
4.5;;;;;
6.8;;;;;
8.3;;;;;
2.9;;;;;
10;;;;;
0.6;;;;;
0.5;;;;;
0.7;;;;;
8.9;;;;;
1.4;;;;;
9.6;;;;;
5.9;;;;;
8.8;;;;;
6.6;;;;;
5.4;;;;;
0.006;;;;;
8.3;;;;;
0.353;;;;;
0.365;;;;;
0.6;;;;;
0.2;;;;;
9.5;;;;;
13.1;;;;;
14.3;;;;;
3.8;;;;;
7;;;;;
17.6;;;;;
0.002;;;;;
0.272;;;;;
0.7;;;;;
6.5;;;;;
8.9;;;;;
1.2;;;;;
1.2;;;;;
1;;;;;
0.9;;;;;
0;;;;;
7.4;;;;;
3.2;;;;;
6.5;;;;;
1;;;;;
0.8;;;;;
0.9;;;;;
5;;;;;
0.039;;;;;
0.047;;;;;
10;;;;;
1.3;;;;;
1.3;;;;;
0.8;;;;;
0.3;;;;;
1.1;;;;;
3.9;;;;;
1;;;;;
0.6;;;;;
3.7;;;;;
3.1;;;;;
0.8;;;;;
6.4;;;;;
8.6;;;;;
1.8;;;;;
1.1;;;;;
1;;;;;
1.3;;;;;
0.2;;;;;
0.4;;;;;
0.697;;;;;
1.3;;;;;
8.2;;;;;
0.066;;;;;
0.098;;;;;
0.017;;;;;
0.025;;;;;
4.3;;;;;
0.5;;;;;
0.2;;;;;
7.7;;;;;
6;;;;;
6.8;;;;;
4.1;;;;;
5.4;;;;;
4.2;;;;;
3.7;;;;;
7.8;;;;;
7.3;;;;;
4.5;;;;;
3.7;;;;;
5.8;;;;;
2.7;;;;;
8.9;;;;;
5.8;;;;;
7.4;;;;;
3.2;;;;;
4.9;;;;;
0.024;;;;;
0.098;;;;;
0.268;;;;;
0.4;;;;;
1.129;;;;;
2.028;;;;;
0.013;;;;;
0.009;;;;;
6.1;;;;;
7.2;;;;;
5.3;;;;;
7.6;;;;;
0.098;;;;;
0.004;;;;;
0.001;;;;;
0.014;;;;;
1.5;;;;;
8.4;;;;;
3.4;;;;;
0.408;;;;;
0.048;;;;;
0.121;;;;;
10;;;;;
7.5;;;;;
1.7;;;;;
1.7;;;;;
6.8;;;;;
7.4;;;;;
12.6;;;;;
7.5;;;;;
8.5;;;;;
5;;;;;
5.2;;;;;
0.288;;;;;
0.021;;;;;
0.229;;;;;
0.535;;;;;
0.004;;;;;
0.098;;;;;
5.3;;;;;
8.6;;;;;
6.4;;;;;
6.1;;;;;
8;;;;;
8.3;;;;;
0.2;;;;;
3.5;;;;;
4.1;;;;;
9.1;;;;;
5.7;;;;;
2.4;;;;;
1.6;;;;;
2.7;;;;;
5.1;;;;;
4.8;;;;;
0.3;;;;;
10.9;;;;;
7.9;;;;;
7;;;;;
5.1;;;;;
4.7;;;;;
5.4;;;;;
0.1;;;;;
0.3;;;;;
0;;;;;
0.434;;;;;
4.2;;;;;
10;;;;;
5.6;;;;;
5.4;;;;;
4.4;;;;;
7.9;;;;;
6.9;;;;;
1.7;;;;;
8.1;;;;;
21.3;;;;;
0.124;;;;;
0.128;;;;;
9.8;;;;;
0.8;;;;;
0.8;;;;;
5.5;;;;;
6.8;;;;;
10;;;;;
11.2;;;;;
5.6;;;;;
3.4;;;;;
6.3;;;;;
4.3;;;;;
4.8;;;;;
0.098;;;;;
2;;;;;
2.9;;;;;
8;;;;;
7.4;;;;;
5.4;;;;;
1.8;;;;;
2;;;;;
1.4;;;;;
3.3;;;;;
8.3;;;;;
5.8;;;;;
0.239;;;;;
0.003;;;;;
5.8;;;;;
0;;;;;
2;;;;;
6.8;;;;;
18.1;;;;;
23.7;;;;;
6.4;;;;;
7.7;;;;;
5.4;;;;;
2.8;;;;;
5.4;;;;;
6.2;;;;;
6.9;;;;;
11.8;;;;;
5.7;;;;;
5.7;;;;;
6.6;;;;;
0.5;;;;;
8.5;;;;;
7.9;;;;;
4.9;;;;;
1.2;;;;;
8;;;;;
2.3;;;;;
6.8;;;;;
10;;;;;
3.3;;;;;
8.5;;;;;
5.5;;;;;
6.5;;;;;
2.4;;;;;
1;;;;;
8.1;;;;;
12.3;;;;;
11.4;;;;;
3.2;;;;;
8.4;;;;;
8.5;;;;;
0;;;;;
1.2;;;;;
4.5;;;;;
6.2;;;;;
6.5;;;;;
5.2;;;;;
0.446;;;;;
0.5;;;;;
0;;;;;
0;;;;;
0.3;;;;;
2.8;;;;;
2.8;;;;;
;;;;;
2.2;;;;;
2.2;;;;;
7.8;;;;;
5.9;;;;;
0.8;;;;;
0.3;;;;;
7.1;;;;;
0.272;;;;;
11.7;;;;;
8.6;;;;;
6.5;;;;;
8;;;;;
1.3;;;;;
0.4;;;;;
8.9;;;;;
0.6;;;;;
3.1;;;;;
0.8;;;;;
10;;;;;
2.8;;;;;
2.3;;;;;
0;;;;;
0;;;;;
0;;;;;
0.6;;;;;
0;;;;;
0;;;;;
0;;;;;
0.6;;;;;
0;;;;;
2.4;;;;;
0;;;;;
0;;;;;
0;;;;;
3.3;;;;;
0;;;;;
0.9;;;;;
3.6;;;;;
0;;;;;
3.5;;;;;
0.1;;;;;
4.6;;;;;
2.4;;;;;
0.2;;;;;
2.1;;;;;
0;;;;;
0;;;;;
1.5;;;;;
0.8;;;;;
0.8;;;;;
0;;;;;
3.5;;;;;
1.4;;;;;
1.5;;;;;
0.7;;;;;
1;;;;;
0;;;;;
0.7;;;;;
0.4;;;;;
0.7;;;;;
0;;;;;
0.4;;;;;
0.5;;;;;
1.5;;;;;
0.6;;;;;
0.6;;;;;
0.4;;;;;
0;;;;;
0;;;;;
0;;;;;
4.8;;;;;
6.9;;;;;
5;;;;;
8.7;;;;;
4.4;;;;;
0.5;;;;;
0;;;;;
0.6;;;;;
1.02;;;;;
0.6;;;;;
0.9;;;;;
2.8;;;;;
0.4;;;;;
0.3;;;;;
0.7;;;;;
6;;;;;
2;;;;;
0.3;;;;;
1.6;;;;;
3;;;;;
0.6;;;;;
0.04;;;;;
0;;;;;
0;;;;;
0;;;;;
0.7;;;;;
0;;;;;
1.1;;;;;
0.4;;;;;
1.2;;;;;
0.4;;;;;
7.4;;;;;
6.7;;;;;
2.3;;;;;
0.6;;;;;
0.5;;;;;
0.7;;;;;
0.7;;;;;
3.3;;;;;
1;;;;;
1.3;;;;;
0.1;;;;;
4;;;;;
0;;;;;
0.3;;;;;
0.2;;;;;
0.8;;;;;
1.1;;;;;
1.9;;;;;
0.8;;;;;
7.9;;;;;
11.4;;;;;
3.2;;;;;
1;;;;;
0.5;;;;;
0.7;;;;;
0.1;;;;;
3.9;;;;;
0.8;;;;;
0.8;;;;;
10.3;;;;;
1.1;;;;;
0.2;;;;;
0.8;;;;;
0.7;;;;;
0.4;;;;;
0.3;;;;;
1.6;;;;;
0.4;;;;;
10;;;;;
0.4;;;;;
0.8;;;;;
0.2;;;;;
0.8;;;;;
1.1;;;;;
0;;;;;
0.5;;;;;
0;;;;;
0.08;;;;;
0;;;;;
0.5;;;;;
0;;;;;
8.3;;;;;
4.4;;;;;
5.8;;;;;
11.5;;;;;
0.6;;;;;
0.5;;;;;
0.6;;;;;
2.8;;;;;
11.1;;;;;
4.9;;;;;
10;;;;;
7.7;;;;;
0;;;;;
0;;;;;
0.2;;;;;
8.7;;;;;
9.2;;;;;
110;;;;;
12.9;;;;;
0.9;;;;;
1.3;;;;;
10;;;;;
0.1;;;;;
10;;;;;
0.5;;;;;
0.2;;;;;
0;;;;;
0.1;;;;;
0.6;;;;;
0.9;;;;;
0.3;;;;;
0.9;;;;;
1.3;;0.1;0.15;0;0
12.7;;;;;
2.2;;;;;
1;;;;;
1.3;;;;;
2.9;;;;;
0.7;;;;;
0.4;;;;;
0;;;;;
0.5;;;;;
0.2;;;;;
0.9;;;;;
0.2;;;;;
0;;;;;
0.1;;;;;
1.3;;;;;
1.3;;;;;
0.7;;;;;
1.8;;;;;
1.1;;;;;
0.6;;;;;
0.3;;;;;
0;;;;;
0.7;;;;;
9.1;;;;;
2.5;;;;;
0.01;;;;;
0.8;;;;;
0.9;;;;;
2.5;;;;;
0;;;;;
0.3;;;;;
1.1;;;;;
0.1;;;;;
0.011;;;;;
4.6;;;;;
8.4;;;;;
6;;;;;
6.8;;;;;
3.4;;;;;
8.1;;;;;
4.5;;;;;
1;;;;;
4.6;;;;;
0.5;;;;;
1.2;;;;;
0.9;;;;;
0.3;;;;;
0.9;;;;;
1;;;;;
21.1;;;;;
0.7;;;;;
1.4;;;;;
0.4;;;;;
0.3;;;;;
0.5;;;;;
0.4;;;;;
0.5;;;;;
0;;;;;
0.3;;;;;
0.4;;;;;
0.1;;;;;
0.7;;;;;
0;;;;;
2;;;;;
1.3;;;;;
0.4;;;;;
4.1;;;;;
1;;;;;
0.6;;;;;
5.8;;;;;
1.1;;;;;
1.1;;;;;
3;;;;;
1.6;;;;;
0.2;;;;;
1.2;;;;;
0.6;;;;;
0.9;;;;;
1.3;;;;;
0;;;;;
0.1;;;;;
0.9;;;;;
1;;7.02;;1;0
1.3;;;;;
0.2;;;;;
4.7;7.4;6.91;0.35;1;0
0.9;;;;;
1.3;;;;;
10;;;;;
0.6;;;;;
0.8;;;;;
1;;;;;
5;;;;;
5;;;;;
0.3;;;;;
0.7;;;;;
0.4;;;;;
2.2;;;;;
0.4;;;;;
0.2;;;;;
0.208;;;;;
0;;;;;
0.3;;;;;
1.8;;;;;
4.7;;;;;
0.4;;;;;
0.5;;;;;
35.8;;;;;
2.6;;;;;
6.3;;;;;
4.8;;;;;
0.3;;;;;
2.2;;;;;
1.3;;;;;
0.2;;;;;
0.6;;;;;
0.2;;;;;
0.6;;;;;
8.3;;;;;
0.7;;;;;
0.5;;;;;
1;;;;;
3.2;6.75;2;0.04;0;0
1.5;;;;;
4.6;;;;;
0.1;7.29;0.34;;1;0
0.23;7.74;0.34;;0;0
0.01;7.61;0.34;;0;0
0.5;6.63;0.1;;1;0
0.5;7.67;2.02;0.01;1;0
0.5;;0.14;;0;0
0.4;7.7;0.34;;0;0
0.5;;0.27;;1;0
0.01;7.55;0.34;;0;0
0.5;;;;;
0.6;7.01;2.2;0.04;0;0
0;;;;;
0.3;;;;;
0;;;;;
3.1;;;;;
0;;;;;
2.1;;;;;
1.4;;;;;
3.6;;;;;
3.3;;;;;
5.5;;;;;
;;;;;
5;;;;;
0;;;;;
1.6;;;;;
6.5;;;;;
5;;;;;
7.1;;;;;
2.7;;;;;
2.1;;;;;
3.7;;;;;
5.5;;;;;
7.1;;;;;
9;;;;;
8.1;;;;;
0.2;;;;;
3.8;;;;;
0;;;;;
7.8;;;;;
0;;;;;
4.1;;;;;
5.3;;;;;
0;;;;;
6.6;;;;;
2.2;4.8;0.9;;;
0;;;;;
0.098;;;;;
2.1;8.01;1.6;1.13;0;0
1.7;8.04;9.56;0.21;0;0
1.6;6.72;2.87;0.07;0;0
0.7;;;;;
1.6;;;;;
0;;;;;
0;;;;;
0;;;;;
4.2;;;;;
0;;;;;
0.28;;;;;
1.4;;;;;
0.8;;;;;
10;;;;;
14.1;;;;;
0;;;;;
1.9;;;;;
0.5;;;;;
0.8;;;;;
1.6;;;;;
2.4;;;;;
1.2;;;;;
3.4;;;;;
0;;;;;
12.5;;;;;
11;;;;;
10;;;;;
17.2;;;;;
19.6;;;;;
9.8;;;;;
20.9;;;;;
8.4;;;;;
10;;;;;
13.9;;;;;
11.6;;;;;
;;;;;
;;;;;
1.5;6.81;0.63;1.81;0;0
0.6;7.65;0.1;1.53;0;0
0.6;6.8;0.1;1.07;0;0
1.5;6.35;0.35;1.79;0;0
0.49;;;;;
1.28;;;;;
1.09;;;;;
0.73;;;;;
0.63;;;;;
0.88;;;;;
0.2;;;;;
0.23;;;;;
0.79;;;;;
0.26;;;;;
0.317;;;;;
0.098;;;;;
0.141;;;;;
0.48;6.64;0.57;;0;0
0.43;6.09;4.17;0.01;1;
0.64;;35.8;;1;0
0.45;6.92;0.44;1.3;1;
490;7.27;5.23;;;
0.51;7.64;250;0.01;1;
0.43;7.53;4.26;0.01;1;
0.1;7.33;0.12;1.9;0;0
110;7.07;18.8;;;
0.32;7.97;0.34;2.01;0;0
1.56;7.51;112;0.03;1;1
0.5;7.15;0.1;0.01;0;0
0.15;7.65;0.34;1.93;0;0
0.42;6.06;208;0.01;1;
0.61;8.35;64.7;0.05;1;1
0.1;7.37;0.12;1.77;0;0
100;7.31;4.9;0.01;0;0
0.4;;;;;
0.4;;;;;
0.7;;;;;
0.1;;1.3;;;
0.5;;0.83;;1;0
0.23;7.4;0.34;;1;0
0.19;7.54;0.34;;0;0
0.5;;0.63;;0;0
0.1;6.39;0.53;1.5;0;0
9.6;;;;;
11.2;;;;;
11.8;;;;;
11.5;;;;;
14.1;;;;;
8.9;;;;;
7.7;;;;;
14.4;;;;;
5.6;;;;;
16.8;;;;;
13.5;;;;;
10;;;;;
25.9;;;;;
24.1;;;;;
20.3;;;;;
10;;;;;
9.9;;;;;
9.4;;;;;
2.4;;;;;
3.9;;;;;
5.3;;;;;
4.3;;;;;
7.6;;;;;
10.7;;;;;
11.8;;;;;
10;;;;;
9.8;;;;;
4.2;;;;;
6.3;;;;;
3.2;;;;;
4;;;;;
7;;;;;
0;;;;;
18;;;;;
17.5;;;;;
10;;;;;
11.9;;;;;
10.4;;;;;
12.7;;;;;
18.6;;;;;
26.9;;;;;
2;;;;;
9;;;;;
2.6;;;;;
2.9;;;;;
2.5;;;;;
2.9;;;;;
2.3;;;;;
3.2;;;;;
0;;;;;
2.7;;;;;
3.1;;;;;
2.2;;;;;
3.9;;;;;
2.9;;;;;
18.1;;;;;
8.5;;;;;
15.3;;;;;
8.8;;;;;
7.1;;;;;
13.2;;;;;
9.4;;;;;
12.9;;;;;
1.7;;;;;
12;;;;;
10.6;;;;;
12.9;;;;;
13.2;;;;;
1.2;;;;;
0.7;;;;;
4.9;;;;;
0;;;;;
2.7;;;;;
12.3;;;;;
20.3;;;;;
16.4;;;;;
2;;;;;
5.8;;;;;
17.8;;;;;
16.5;;;;;
1.1;;;;;
0.67;;;;;
0.03;;;;;
0.65;;;;;
1;;;;;
3.6;;;;;
3.4;;;;;
6.9;;;;;
0.6;;;;;
0.3;;;;;
2.9;;;;;
0.7;;;;;
0.9;;;;;
0.5;;;;;
3.2;;;;;
0.8;;;;;
0.3;;;;;
0.3;;;;;
0.2;;;;;
0.3;;;;;
0.43;;;;;
0.24;;;;;
0.41;;;;;
0.2;;;;;
0.46;;;;;
0.14;;;;;
0.3;;;;;
0.21;;;;;
0.45;;;;;
0.21;;;;;
0;;;;;
0.08;;;;;
1.15;;;;;
0.6;;;;;
;;;;;
;;;;;
0.6;;;;;
0;5.52;0.22;0;0;0
;7.41;0.44;0.39;0;0
0.86;6.25;0.13;0.01;0;0
0.5;7.22;1.19;0.91;0;0
0.5;6.4;0.83;0.81;0;0
;6.34;1.76;0.68;0;0
;;;;;
0;;;;;
0;;;;;
0;;;;;
3.3;;;;;
1.5;;;;;
0;;;;;
;;;;;
;;;;;
0.82;;;;;
1.86;;;;;
1.7;;;;;
0.9;;;;;
0.9;;;;;
0.3;;;;;
0;;;;;
0.3;;;;;
1.2;;;;;
1;;;;;
0.21;;;;;
0.9;;;;;
1.4;;;;;
0.7;;;;;
1.2;;;;;
0.1;;;;;
0.39;;;;;
0.29;;;;;
0.36;;;;;
0.2;;;;;
0.27;;;;;
;;;;;
0.21;;;;;
0.25;;;;;
0.26;;;;;
0.3;;;;;
0.35;;;;;
;;;;;
0.29;;;;;
0.3;;;;;
0.35;;;;;
0.28;;;;;
;;;;;
0.85;;;;;
0.7;;;;;
0.47;;;;;
0.66;;;;;
0.69;;;;;
0.6;;;;;
0.59;;;;;
1.4;;;;;
2.3;;;;;
1;;;;;
0.9;;;;;
0;;;;;
;7.33;42.2;;;
;8.14;667;0.01;0;0
;6.92;0.34;5;;
;7.27;280;;;
;7.75;0.92;1.31;0;0
0.154;;;;;
0.003;;;;;
0.145;;;;;
0.4;;;;;
0.9;6.7;2.1;1.4;0;0
0.9;;;;;
1.2;;;;;
0;;;;;
0.81;6.06;0.12;;0;0
0;;;;;
0.8;;;;;
0.91;7.51;0.34;0.56;0;0
0.69;7.3;0.34;0.6;0;0
0.33;7.41;1.68;0.77;0;0
0.567;6.78;0.34;1.01;0;0
0.4;5.44;0.34;0.58;0;0
0.76;7.02;0.12;1.18;0;0
