Nitrato;pH;Turbidez;CRL;Coliformes;Ecoli
2.8;;;;;
1;;;;;
0.4;;;;;
0.5;;;;;
0;;;;;
0;;;;;
0;;;;;
2.3;;;;;
0.7;;;;;
1.5;;;;;
2;;;;;
0.003;;;;;
0.4;;;;;
0.4;;;;;
0;;;;;
0.3;;;;;
0.7;;;;;
0.5;;;;;
0;;;;;
1;;;;;
13.4;;;;;
7.3;;;;;
12.1;;;;;
9.5;;;;;
6.6;;;;;
6.4;;;;;
1;;;;;
2.4;;;;;
1.7;;;;;
1.8;;;;;
1.4;;;;;
0.6;;;;;
1.3;;;;;
0;;;;;
0.5;;;;;
1.3;;;;;
1;;;;;
0.03;;;;;
1;;;;;
0;;;;;
1.1;;;;;
1.1;;;;;
1.4;6.7;0.26;0.72;0;0
3.5;;;;;
;;;;;
2.3;;;;;
0;;;;;
0;;;;;
0;;;;;
0.8;6.5;0.12;0.7;0;0
1.2;;;;;
0.8;;;;;
6.4;7.4;1.34;1;0;0
2.9;7.6;0.28;0.35;1;1
1.3;;;;;
0.4;;;;;
1;;;;;
0.3;;;;;
0.5;;;;;
0.3;;;;;
1;;;;;
4.3;;;;;
3.3;;;;;
11;;;;;
4.8;;;;;
3.6;;;;;
3.2;;;;;
5.5;;;;;
8.8;;;;;
4.2;;;;;
8.5;;;;;
5.1;;;;;
2.1;;;;;
0.4;;;;;
1.7;;;;;
0.1;;;;;
1.1;;;;;
0.3;;;;;
1;;;;;
2.2;;;;;
3.7;;;;;
1.2;;;;;
0.3;;;;;
4.7;;;;;
2.1;;;;;
0.3;;;;;
0;;;;;
0.4;;;;;
2;;;;;
0.3;;;;;
;;;;;
0.6;;;;;
0.8;;;;;
4.4;;;;;
0.9;;;;;
0.3;;;;;
0.4;;;;;
3.2;;;;;
1.3;6.33;0.78;0.26;0;0
1.1;;;;;
9.9;;;;;
2.8;;;;;
0.7;;;;;
0.6;;;;;
0.9;;;;;
0.7;;;;;
0.2;;;;;
0;;;;;
1.7;;;;;
0.2;;;;;
3.7;;;;;
0.6;;;;;
0.3;;;;;
0;;;;;
0;;;;;
13.2;;;;;
0;;;;;
1.1;;;;;
0.5;;;;;
0.3;;;;;
5.3;;;;;
4.8;;;;;
0.1;;;;;
0.5;;;;;
0.3;;;;;
0.9;;;;;
3.9;;;;;
7.6;;;;;
0.9;;;;;
5.8;;;;;
3.1;;;;;
2.8;;;;;
9.1;;;;;
3.2;;;;;
0.9;;;;;
0.6;;;;;
0.6;;;;;
8.3;;;;;
11.9;;;;;
9.4;;;;;
0.4;;;;;
10;;;;;
1.7;;;;;
0.7;;;;;
4.1;;;;;
1.5;;;;;
0.7;;;;;
0.8;;;;;
12.4;;;;;
9.5;;;;;
0.4;;;;;
1.4;;;;;
1.6;;;;;
3.5;;;;;
0.8;;;;;
0.7;;;;;
1.3;;;;;
0.7;;;;;
0.3;;;;;
1.1;6.13;2.19;0.51;1;0
5.7;;;;;
0.6;;;;;
0.2;;;;;
2.4;;;;;
0.8;;;;;
2.4;;;;;
1.3;;;;;
0.111;;;;;
0.8;;;;;
0.039;;;;;
16.1;;;;;
0;;;;;
0.5;;;;;
0;;;;;
1.7;;;;;
9.6;;;;;
7.8;;;;;
0.5;;;;;
0;;;;;
1.1;;;;;
0.3;;;;;
1.8;;;;;
0.7;;;;;
1.4;;;;;
4.7;;;;;
0.2;;;;;
1;;;;;
3.2;;;;;
1.1;;;;;
4.8;;;;;
5.8;;;;;
0.58;;;;;
0.007;;;;;
0.4;;;;;
0;;;;;
0.7;;;;;
4.88;;;;;
0.4;;;;;
0.5;;;;;
1.2;;;;;
0.3;;;;;
0.1;;;;;
0.5;;;;;
0.5;;;;;
0;;;;;
0.7;;;;;
1.4;;;;;
3.7;;;;;
0.7;;;;;
4.9;;;;;
8.7;;;;;
0.7;;;;;
0.9;;;;;
0.6;;;;;
1;;;;;
0.8;;;;;
1.1;;;;;
9.2;;;;;
0.4;;;;;
0.6;;;;;
0.7;;;;;
11;;;;;
1.1;;;;;
1;;;;;
0.8;;;;;
2.1;;;;;
1;;;;;
1.1;;;;;
1.2;;;;;
3.7;;;;;
0;;;;;
0.8;;;;;
21.3;;;;;
1;;;;;
0.5;;;;;
0.3;;;;;
0.5;;;;;
0.7;;;;;
0.8;;;;;
1.6;;;;;
1;;;;;
