pH;Turbidez;CRL;Coliformes;Ecoli;Precipitação;Norte;Nordeste;Centro-Oeste;Sudeste;Sul;Latitude;Longitude;Manancial
3.7;0.3;5;0;1;0.026122287;0;1;0;0;0;-7.35819;-46.6225;1
7.1;0.3;5;0;1;0.871475336;0;1;0;0;0;-8.81175;-36.0137;1
7.05;1.95;0.7;0;0;0.062171803;0;1;0;0;0;-14.5003;-42.2229;2
7;0.85;3.5;0;0;0.061889594;0;1;0;0;0;-8.87576;-36.3653;1
9;1;;0;0;0.607062549;0;0;0;1;0;-22.5249;-45.4945;1
7.15;0.02;1.74;0;0;0.396011307;0;1;0;0;0;-12.9822709;-38.4778317;1
6.3;0.8;0.65;0;0;0.016390387;0;0;1;0;0;-15.8507;-48.9584;1
7.26;0.5;1;0;0;0.489911822;0;1;0;0;0;-14.964;-39.8115;1
8.2;0.12;1.34;1;0;0.042534441;0;1;0;0;0;-7.20629;-36.8245;2
6.2;1.4;;0;0;0.170271988;0;1;0;0;0;-10.3524;-37.7002;1
7;0.01;2.11;0;0;0.708838469;0;1;0;0;0;-8.81175;-36.0137;1
6.56;0.4;;1;0;0.840852132;1;0;0;0;0;-11.169;-61.8986;1
7.38;0.221;1.79;0;0;0.396011307;0;1;0;0;0;-12.9899144;-38.5168805;1
7.2;2.77;2;0;0;0.078611408;1;0;0;0;0;-4.37055;-70.1967;1
6.9;2.25;0.49;0;0;0.259813521;0;0;0;0;1;-27.0996;-51.2473;3
7.38;0.43;0.6;0;0;0.43115538;0;1;0;0;0;-13.1185;-42.2902;2
5.89;0.56;0.5;0;0;0;1;0;0;0;0;-11.169;-61.8986;1
5;0;0.81;0;0;0.957956931;0;1;0;0;0;-8.65791;-36.3293;2
7.8;10.59;;1;0;0.150665563;0;1;0;0;0;-7.10098;-36.8458;2
6.5;0;0.05;0;0;0.791826987;0;1;0;0;0;-11.3809;-37.6623;1
0;3;1.5;1;0;0.290437355;1;0;0;0;0;-9.06596;-68.6571;1
8.3;1.22;0.39;0;0;0.501626537;0;0;1;0;0;-18.4859;-49.4766;1
4.7;0;0.08;0;0;0.313063911;0;1;0;0;0;-16.4435;-39.0643;1
6.5;1.82;0.2;1;0;0.008966618;0;1;0;0;0;-9.01241;-42.6987;1
6;3;1;0;0;0.287761319;0;1;0;0;0;-3.53639;-43.917;1
5.83;0.1;0.8;0;0;0.019194645;0;1;0;0;0;-12.2664;-38.9663;1
7.79;0.63;1.9;0;0;0.029323556;0;1;0;0;0;-7.33652;-34.59853;2
7;0.93;0.5;0;0;1;0;1;0;0;0;-8.81175;-36.0137;1
6.8;0.87;0.69;0;0;0.179767244;0;1;0;0;0;-2.88769;-40.1183;3
6.84;0.2;0.8;0;0;0.008420919;0;1;0;0;0;-14.5003;-42.2229;2
7.1;0.02;2.5;0;0;0.716406043;0;0;0;0;1;-26.62;-53.6716;1
7;0.66;1;1;1;0.455475571;0;0;0;0;1;-26.9592;-50.4252;1
5.62;0.2;;0;0;0.034458904;1;0;0;0;0;-11.169;-61.8986;1
7.05;0.05;0.81;0;0;0.339367416;0;1;0;0;0;-10.3182;-38.4014;3
8.2;0;0.23;0;0;0.318383409;0;1;0;0;0;-7.6003;-37.3165;2
6.2;0.1;0.65;0;0;0.622154595;0;0;0;1;0;-23.5057;-46.879;2
4.93;0;0;0;0;0.789812355;0;1;0;0;0;-11.9668;-41.2647;2
7.46;0.38;2.3;0;0;0.169205163;0;1;0;0;0;-7.38079;-34.49038;3
7.55;0;2.2;0;0;0.008567596;0;0;0;1;0;-22.7542;-47.1488;1
9;1.43;;0;0;0.875434091;0;0;0;1;0;-22.5249;-45.4945;1
7.6;0.8;0.5;0;1;0.243539161;0;1;0;0;0;-4.92673;-37.9721;1
8.84;0.05;0.3;0;0;0.292460712;0;1;0;0;0;-10.3182;-38.4014;3
7.81;1.26;1.49;0;0;0.010301903;0;1;0;0;0;-8.13436;-41.1431;2
0;2;0.23;0;0;0.290437355;1;0;0;0;0;-9.06596;-68.6571;1
5;0;0.5;1;0;0.348259192;0;1;0;0;0;-8.65791;-36.3293;2
8.24;0;1;0;0;0.379089062;0;1;0;0;0;-8.23599;-41.6873;3
7.4;0.04;1.8;0;0;0.06349066;0;1;0;0;0;-8.41519;-37.0577;2
7.2;0.774;1.58;0;0;0.578982242;0;0;0;0;1;-26.62;-53.6716;1
6.9;0.55;0.41;0;0;1;0;1;0;0;0;-11.3809;-37.6623;1
6.7;0.04;0.45;0;0;1;0;0;0;0;1;-26.9592;-50.4252;1
6.81;0.33;0.3;0;0;0.746474596;0;0;1;0;0;-15.452;-47.6089;1
6.41;0.55;0.41;0;0;0.789774751;0;0;0;1;0;-21.1523;-41.5693;1
6.11;0.21;0.62;0;0;0.408442418;0;0;1;0;0;-15.452;-47.6089;3
0;1;0.07;;;0.784837842;1;0;0;0;0;-9.06596;-68.6571;1
6.16;2.33;0.7;1;1;0.451234592;1;0;0;0;0;-10.9056;-62.242;2
6.73;1;0.56;0;0;0.175942862;0;0;0;1;0;-21.5556;-45.4364;1
7.4;0.04;5.5;0;0;0.06349066;0;1;0;0;0;-8.41519;-37.0577;2
6.8;1.58;0;0;0;0.659848962;0;0;0;1;0;-22.8058;-43.3729;1
7.03;2.42;3;0;0;0.978174167;0;1;0;0;0;-7.559148;-34.993261;2
6.6;0;2.9;0;0;0.706839534;0;1;0;0;0;-5.35875;-42.6776;3
7.86;0.5;0.15;1;1;0.001499183;0;1;0;0;0;-12.1144;-43.8958;1
6.3;0;0.74;0;0;0;0;0;0;1;0;-20.0407;-47.7466;3
0.1;0.1;0.2;0;0;1;0;1;0;0;0;-11.5273;-40.3149;2
7.4;0.18;2;0;0;0.278824147;0;0;0;1;0;-24.6517;-49.0044;1
7.2;0.8;0.5;0;0;0.025021553;1;0;0;0;0;-11.8881;-49.1609;3
6.39;0.02;2.9;1;0;0.491189678;0;1;0;0;0;-16.4435;-39.0643;3
7.25;0.16;0.78;0;0;0.494077552;0;1;0;0;0;-14.5003;-42.2229;2
7;4.1;1.1;0;0;0.922704003;0;1;0;0;0;-2.72094;-42.5258;3
6.41;0.28;0.45;0;0;0.743659125;0;1;0;0;0;-8.23599;-41.6873;3
6.2;0.2;5;0;1;0.455475571;0;0;0;0;1;-26.9592;-50.4252;1
7.45;0;0.55;0;0;0.015003317;0;1;0;0;0;-8.23599;-41.6873;3
6.83;1.1;1.5;0;0;0;0;1;0;0;0;-13.6908;-39.4762;1
6.5;0.2;1.56;;;0.357075523;0;0;0;0;1;-25.8734;-49.4973;3
6.31;0.229;0.2;0;0;0.084338358;0;1;0;0;0;-12.958587;-38.4673789;1
7.35;0.22;1.5;0;0;0.485874583;1;0;0;0;0;-4.2416;-69.9383;1
7.4;3.16;0.5;0;0;0.296719988;0;0;0;1;0;-19.2345;-42.0998;1
7;0.08;1;0;0;0;0;1;0;0;0;-5.25476;-44.6444;3
6.99;3;0.07;0;0;0.399319907;0;0;0;1;0;-18.2195;-42.4946;3
0;1;0;0;0;0.063564227;1;0;0;0;0;-9.06596;-68.6571;1
6.5;0.37;0.72;0;0;0.330511706;0;0;0;0;1;-27.0772;-52.1289;1
7.17;0.1;1;1;0;0;0;1;0;0;0;-10.8653;-40.1311;2
7.6;0;0.83;0;0;0;0;0;1;0;0;-16.084;-49.4953;1
6.95;0.19;0.8;0;0;0.600091453;0;1;0;0;0;-14.2676;-43.1609;1
6.62;0.89;0.6;0;0;0.315529922;0;0;1;0;0;-18.4859;-49.4766;1
6;2;1;0;0;0.853109172;0;1;0;0;0;-4.16598;-45.4706;3
6;1.18;0;1;0;0.850395155;0;0;0;1;0;-23.7067;-46.4058;1
5;0;0.5;0;0;0.94150105;0;1;0;0;0;-8.65791;-36.3293;2
4.91;0;0.5;1;0;0.54439553;0;1;0;0;0;-8.81175;-36.0137;1
6.49;0;1;0;0;0.693237452;0;1;0;0;0;-8.23599;-41.6873;3
6.56;4.61;0.25;0;0;1;0;1;0;0;0;-5.79357;-35.1986;1
6.6;0.96;1.04;0;0;0;0;0;1;0;0;-18.4859;-49.4766;1
7.2;0.79;1.08;0;0;0.63653603;0;0;0;1;0;-21.638;-41.0446;3
7.6;0.56;1.57;0;0;0.847356575;0;1;0;0;0;-10.3524;-37.7002;1
5.42;2.23;0;0;0;0.049568119;0;1;0;0;0;-12.3914;-38.7563;2
8.42;1.8;0.66;0;0;1;0;0;0;0;1;-27.0026;-51.4084;1
7.5;0.3;;0;0;0.847356575;0;1;0;0;0;-10.3524;-37.7002;1
6.8;0.59;0.66;0;0;0.708838469;0;1;0;0;0;-8.81175;-36.0137;1
6.19;0.52;0.55;0;0;0.149778854;0;0;0;1;0;-20.6229;-41.6937;1
5.26;0.04;0.1;0;0;0.215425938;0;1;0;0;0;-8.81605;-35.1832;1
6.44;9.88;0;0;0;0.334374906;0;1;0;0;0;-10.012;-37.8932;3
7.4;2.4;2;0;0;0.547161206;0;1;0;0;0;-4.58571;-42.8583;1
7.1;0.1;1;0;0;0.020250173;0;0;0;1;0;-20.3116;-47.5918;3
6.92;1;1.5;0;0;0.291357312;0;1;0;0;0;-13.5248;-39.964;1
0;2;0.01;;;0.030281046;1;0;0;0;0;-9.06596;-68.6571;1
6.7;0.1;3.1;0;1;0.908338678;0;0;0;1;0;-21.5556;-45.4364;1
8.39;1.56;0.4;0;0;1;0;0;0;0;1;-27.0026;-51.4084;1
6.8;1.62;3;0;0;0.659848962;0;0;0;1;0;-22.8058;-43.3729;1
6.84;0.1;0.3;0;0;0.008420919;0;1;0;0;0;-14.5003;-42.2229;2
6;0.23;1.33;0;0;0.847356575;0;1;0;0;0;-10.3573959;-37.702238;1
7.73;0.04;3.7;0;0;0.956201397;0;1;0;0;0;-11.2329;-38.4871;3
6.6;0.5;1.8;0;0;0.66740889;0;0;0;0;1;-32.05763;-52.1532;1
6.3;0.1;0;0;0;0.613843052;0;1;0;0;0;-14.2021;-41.6696;2
8.6;2.7;2.55;0;0;0.514127547;0;1;0;0;0;-10.4374;-39.3321;3
6.35;1.5;2.9;0;0;0.978174167;0;1;0;0;0;-7.555329;-34.99811;2
6.35;0.16;0.96;0;0;0.008420919;0;1;0;0;0;-14.5003;-42.2229;2
6;1.64;0.37;0;0;0.167812405;0;1;0;0;0;-5.25476;-44.6444;3
5.7;0.3;3.5;1;0;0.873894851;0;0;0;1;0;-23.6022;-46.919;2
0;3;0.08;1;0;0.290437355;1;0;0;0;0;-9.06596;-68.6571;1
6.9;0.36;0.2;0;0;0.446244672;0;1;0;0;0;-10.5965;-37.1131;1
8.2;0.04;5.5;0;0;0.584812645;0;1;0;0;0;-8.41519;-37.0577;2
7.97;1.16;0.4;1;0;0.425658876;0;1;0;0;0;-14.2063;-39.5207;1
7;0.25;1.3;1;0;0.089620099;0;1;0;0;0;-3.40202;-44.3508;1
7;2;1;0;0;0;0;1;0;0;0;-3.53639;-43.917;1
7.31;1.42;1.7;0;0;0.978174167;0;1;0;0;0;-7.560397;-34.992598;2
6.3;0.43;0.67;0;0;0.501626537;0;0;1;0;0;-18.4859;-49.4766;1
6.8;0.01;1;0;0;0.662089019;0;0;0;1;0;-22.7181;-42.6276;1
6.8;0.79;0.92;0;0;0.564522258;0;0;0;0;1;-27.0996;-51.2473;3
6.5;2.2;0.76;0;0;1;0;0;0;0;1;-26.5716;-52.3229;1
7.23;1.51;0.1;0;0;0.001979403;0;1;0;0;0;-14.2021;-41.6696;2
8.71;0.09;1.63;0;0;0.292460712;0;1;0;0;0;-10.3182;-38.4014;3
9.21;0.18;0.2;1;0;0.760745057;0;1;0;0;0;-5.98648;-35.5792;2
7.2;0.4;0.2;0;0;0.136111305;1;0;0;0;0;-11.8881;-49.1609;3
5.72;0.55;0.1;0;0;0.529847638;0;1;0;0;0;-14.2021;-41.6696;2
7.59;0.34;;0;0;0.546633087;0;0;0;1;0;-19.3661;-42.5446;3
7.3;0.6;0.4;0;0;0.871475336;0;1;0;0;0;-8.81175;-36.0137;1
6.6;1.1;1.1;0;0;1;0;1;0;0;0;-10.65861;-37.30957;1
7.6;0.1;5;0;0;0.916377292;0;1;0;0;0;-7.37696;-37.4787;2
5.4;2.3;0.44;0;0;0.760884376;0;1;0;0;0;-9.00744;-35.2267;3
7.4;0.15;0.43;0;0;0.461727252;0;0;0;1;0;-22.3141667;-44.9680556;2
7.3;2.5;0.7;0;0;0.319026265;0;0;0;0;1;-26.8982;-52.9066;1
7.74;1.22;2;;;0.008402815;0;1;0;0;0;-8.13436;-41.1431;2
8.5;0.02;0.29;0;0;0.007174011;0;1;0;0;0;-7.66373;-35.1002;1
7.35;0.17;0.79;0;0;0.000667318;0;1;0;0;0;-14.5003;-42.2229;2
7.4;0.02;1;0;0;0.537612402;1;0;0;0;0;-4.2416;-69.9383;1
6.59;0.15;0.63;0;0;0.596514999;0;0;1;0;0;-18.4859;-49.4766;1
7;3;1;0;0;0.027779617;0;1;0;0;0;-4.609;-45.049;3
7.3;0.1;0.79;1;0;0.729167276;0;0;0;0;1;-27.0996;-51.2473;3
7.55;1.21;1.2;0;0;0.822229375;0;1;0;0;0;-7.563198;-34.993774;2
6.8;0.8;2.8;1;1;0.197649137;0;1;0;0;0;-8.9723;-36.691;3
6.77;0.02;1;0;0;0.084338358;0;1;0;0;0;-12.8937082;-38.440751;1
7;0.95;3.5;0;0;0.061889594;0;1;0;0;0;-8.87576;-36.3653;1
7.23;0.17;5;0;0;0.184353585;0;1;0;0;0;-13.6541;-40.2119;1
6.67;0.16;0.83;0;0;0.008420919;0;1;0;0;0;-14.5003;-42.2229;2
7.86;0.42;1.23;0;0;0.001499183;0;1;0;0;0;-12.1144;-43.8958;1
7.34;0.1;1.5;0;0;0.000667318;0;1;0;0;0;-14.5003;-42.2229;2
7.24;0.02;0.6;0;0;0.051019989;0;1;0;0;0;-11.6858;-41.7677;1
1.5;;1.6;;;0.749215476;0;1;0;0;0;-8.83951;-35.4591;2
7.6;2.6;0.82;0;0;0.847356575;0;1;0;0;0;-10.3524;-37.7002;1
4;1.2;2;0;0;0.952666746;0;1;0;0;0;-16.5732;-39.5593;1
6.4;2.26;0.5;0;0;0.629760666;0;0;0;1;0;-23.5275;-46.9023;2
8.3;0.3;0.3;0;0;1;0;1;0;0;0;-5.35128;-42.8153;3
7;2;1;0;0;0;0;1;0;0;0;-4.16598;-45.4706;3
7.76;0.04;0.98;0;0;0.339367416;0;1;0;0;0;-10.3182;-38.4014;3
6.8;0.7;1.2;0;0;0.729167276;0;0;0;0;1;-27.0996;-51.2473;3
6.49;0;2;0;0;0.580974648;0;1;0;0;0;-8.13436;-41.1431;2
6.37;0.65;1;0;0;0.053839703;0;0;0;1;0;-20.6931;-41.8405;1
7.75;0.06;0.91;0;0;0.004029215;0;0;1;0;0;-15.452;-47.6089;1
6.9;0;0.8;0;0;0.778764001;0;1;0;0;0;-10.012;-37.8932;3
7.7;0.8;1.5;0;0;0.440334851;0;1;0;0;0;-8.87576;-36.3653;1
6.78;0.02;2.3;0;0;1;0;1;0;0;0;-12.9822709;-38.4778317;1
6.53;0.24;0.88;0;0;0.50203365;0;0;0;1;0;-20.6229;-41.6937;1
7.23;0.95;2;0;0;0.008402815;0;1;0;0;0;-8.13436;-41.1431;2
7.74;1.76;2.18;0;0;0.15061334;0;0;1;0;0;-15.452;-47.6089;1
6.81;0.2;0.8;0;0;1;0;1;0;0;0;-8.23599;-41.6873;3
6.4;0.1;0.5;0;0;0.622154595;0;0;0;1;0;-23.5057;-46.879;2
4.58;0.02;0.4;0;0;0.789812355;0;1;0;0;0;-11.9668;-41.2647;2
6.54;0;0.18;0;0;0.408442418;0;0;1;0;0;-15.452;-47.6089;1
7.26;0.1;0.6;0;0;0.01123504;0;1;0;0;0;-11.3486;-41.6548;1
6.5;3.7;2;1;1;0.001239609;0;1;0;0;0;-7.72049;-36.492;2
8.94;0.1;0.2;0;0;0.889141847;0;1;0;0;0;-13.5248;-39.964;1
8.48;2.75;0.69;0;0;1;0;0;0;0;1;-27.0026;-51.4084;1
6.9;2;2.9;0;0;0;0;0;0;0;1;-32.18044;-52.15586;1
7.9;2.07;2.76;0;0;0.841087311;0;1;0;0;0;-5.35875;-42.6776;3
6.8;2.83;2.5;1;0;0.179767244;0;1;0;0;0;-2.88769;-40.1183;3
7.2;1.88;1;0;0;0.877910636;0;0;0;1;0;-22.8058;-43.3729;1
6;2.67;1.02;0;0;0.142107984;0;0;0;1;0;-23.7067;-46.4058;1
7.4;0.6;0.5;1;0;0.102858693;0;1;0;0;0;-4.92673;-37.9721;1
4;0;1;0;0;0.046766786;0;1;0;0;0;-8.6592;-35.1532;2
7.88;2.9;1.19;1;0;0.110193221;0;0;1;0;0;-18.6238;-50.0805;3
6.8;0.03;1.61;0;0;0.427571623;0;0;0;1;0;-22.7181;-42.6276;1
7;0.8;1;0;0;0.763374334;0;1;0;0;0;-10.0256;-37.5616;1
6;1.33;0.77;0;0;0.03766402;0;0;0;1;0;-20.0407;-47.7466;3
7.2;1.77;0.69;0;0;0.276174361;0;1;0;0;0;-14.5003;-42.2229;2
6.62;1;0.5;1;0;0.588854313;0;0;0;1;0;-21.5556;-45.4364;1
7.2;0.5;1.26;0;0;0.597280593;0;0;0;0;1;-26.8215;-53.2767;1
7.1;4.55;1;1;0;0.871475336;0;1;0;0;0;-8.81175;-36.0137;1
7.06;0.61;0;0;0;0.778764001;0;1;0;0;0;-10.012;-37.8932;3
6.98;1.19;3;0;0;0.440093429;0;1;0;0;0;-7.66373;-35.1002;1
6.29;0.05;0.6;0;0;0;0;1;0;0;0;-7.66373;-35.1002;1
4.04;0.02;0.2;0;0;0.817034794;0;1;0;0;0;-11.2557;-40.9432;3
6.9;1.1;;1;0;0.170271988;0;1;0;0;0;-10.3524;-37.7002;1
7;0.02;1.5;0;0;0.396011307;0;1;0;0;0;-12.9718;-38.5011;1
0;1;6;;;0.259254599;1;0;0;0;0;-9.06596;-68.6571;1
7.1;0;0.21;0;0;0.28621928;1;0;0;0;0;-4.2416;-69.9383;1
6.92;3.5;3;0;0;0.807000075;0;0;0;1;0;-18.2195;-42.4946;3
6.1;1.5;;;;0.176423086;0;1;0;0;0;-10.3524;-37.7002;1
5.96;0.1;;0;0;0.167724202;0;1;0;0;0;-10.5105;-40.32;1
6.95;20.1;0.8;0;0;0.544733814;0;0;0;0;1;-27.7455;-49.9423;1
6.72;0.58;1.5;0;0;0.541647574;0;0;0;1;0;-21.0274;-41.6636;1
7.1;0.5;0.86;0;0;0.612386612;1;0;0;0;0;-4.2416;-69.9383;1
7.01;0.3;1.9;0;0;0.206913894;0;1;0;0;0;-15.5542;-39.3016;1
6.7;0.72;1.29;0;0;0.132610411;0;0;0;0;1;-27.0996;-51.2473;3
6.6;1.1;1.27;0;0;1;0;1;0;0;0;-11.5059;-38.1515;3
6.03;0.21;1.63;0;0;0;0;1;0;0;0;-11.968;-39.1033;1
7.55;0.81;0.8;0;0;0.007351476;0;0;1;0;0;-18.6238;-50.0805;3
0;3;0.08;0;0;0.290437355;1;0;0;0;0;-9.06596;-68.6571;1
6.5;0.6;1;0;0;0.321949933;0;0;0;0;1;-26.5716;-52.3229;1
7.65;3.55;2;0;0;0.010301903;0;1;0;0;0;-8.13436;-41.1431;2
6.34;2.27;2.5;0;0;0.978174167;0;1;0;0;0;-7.561421;-34.992365;2
7.66;0.33;1.68;0;0;0.54859581;0;0;1;0;0;-15.452;-47.6089;1
8;1.41;1;0;0;0.524767973;0;0;0;1;0;-22.0082;-51.5565;3
6.5;0.1;0.8;0;0;0.01123504;0;1;0;0;0;-11.3486;-41.6548;1
0;2;0.08;0;0;0.063564227;1;0;0;0;0;-9.06596;-68.6571;1
6.08;0;1.5;0;0;0.121255221;0;1;0;0;0;-8.81175;-36.0137;1
7.74;0.6;0.8;0;0;0.048698332;0;1;0;0;0;-14.5003;-42.2229;2
6.73;0.02;0.5;0;0;0.182550754;0;1;0;0;0;-16.8488;-40.1641;1
1.5;;1.6;;;0.749215476;0;1;0;0;0;-8.83951;-35.4591;2
7.9;7.26;2.84;0;0;0.591243893;0;1;0;0;0;-5.35875;-42.6776;3
7.3;0;0;0;0;0.773999945;0;1;0;0;0;-5.88856;-42.637;3
7.8;0.67;1.26;0;0;0.577274324;0;0;0;0;1;-26.8794;-52.8568;3
6.79;0.19;0.7;0;0;0.921525736;0;1;0;0;0;-13.9109;-42.8439;1
7.48;0.32;0.95;0;0;0.004029215;0;0;1;0;0;-15.452;-47.6089;1
5.77;0.3;;0;0;0.034458904;1;0;0;0;0;-11.169;-61.8986;1
0;2;0;;;0.784837842;1;0;0;0;0;-9.06596;-68.6571;1
7.1;0;0.6;0;0;0.790134327;0;1;0;0;0;-8.81175;-36.0137;1
7.1;0.13;0.4;1;0;0.494077552;0;1;0;0;0;-14.5003;-42.2229;2
7.45;3.11;0;0;0;0.54859581;0;0;1;0;0;-15.452;-47.6089;3
7.51;0.78;0.45;0;0;0.013399278;0;1;0;0;0;-14.2711;-42.257;2
7.13;0.17;1.29;0;0;0.727224327;0;0;1;0;0;-15.452;-47.6089;1
7.35;0.02;2;;;0.008402815;0;1;0;0;0;-8.13436;-41.1431;2
7.2;2.1;0.23;0;0;0.730552604;0;0;0;1;0;-22.8429;-42.1026;2
0;2;0.04;;;0.259254599;1;0;0;0;0;-9.06596;-68.6571;1
8.2;0;3;0;0;0.157746129;0;1;0;0;0;-7.287;-37.0925;2
6.67;0.18;0.32;0;0;0.746474596;0;0;1;0;0;-15.452;-47.6089;1
6.8;0.662;2;0;0;0.185321982;0;0;0;1;0;-19.8713;-44.9847;1
5.7;1.8;;0;0;0;0;1;0;0;0;-10.3524;-37.7002;1
0;2;0;;;0.259254599;1;0;0;0;0;-9.06596;-68.6571;1
6.62;1;2;0;0;0.007174011;0;1;0;0;0;-7.66373;-35.1002;1
6.4;0.8;2;1;0;0.014848623;0;1;0;0;0;-10.758;-37.3251;2
6.9;0.8;0;0;0;1;0;1;0;0;0;-11.3809;-37.6623;1
0;2;2;;;0.259254599;1;0;0;0;0;-9.06596;-68.6571;1
6.6;1.51;0;1;0;0.259813521;0;0;0;0;1;-27.0996;-51.2473;3
6.3;0.02;0.68;0;0;0.621059894;0;0;0;1;0;-20.0407;-47.7466;3
8.6;0.19;1.07;0;0;0.514127547;0;1;0;0;0;-10.4374;-39.3321;3
6.8;3.03;3;0;0;0.459263823;0;0;0;1;0;-22.9129;-43.2003;1
0;2;0.07;0;0;0.063564227;1;0;0;0;0;-9.06596;-68.6571;1
6.8;0.49;0;0;0;0.319026265;0;0;0;0;1;-26.8982;-52.9066;1
9.18;0.28;0.2;0;0;0.441671503;0;1;0;0;0;-14.9823;-39.9269;1
7.45;4.91;1;0;0;0.628344527;0;0;1;0;0;-18.6238;-50.0805;3
6.5;1.44;2.09;0;0;0.35354788;0;0;0;0;1;-26.9985;-51.5528;1
6.96;1.22;0.3;0;0;0.494077552;0;1;0;0;0;-14.5003;-42.2229;2
6.65;0.19;0.77;0;0;0.572015017;0;1;0;0;0;-14.3371;-43.7686;1
5.95;0.2;0.5;0;0;0;1;0;0;0;0;-11.169;-61.8986;1
7.63;0.28;1.41;0;0;0;0;0;1;0;0;-15.452;-47.6089;1
6.8;0.23;0.72;0;0;0.727809261;0;0;0;0;1;-26.9592;-50.4252;1
6.81;1.58;2.2;0;0;0.169205163;0;1;0;0;0;-7.5606;-34.9959;2
5.7;1.8;2;0;0;0.710505069;0;1;0;0;0;-14.1649;-39.3787;1
7.2;0.7;0.5;0;0;0.938804814;1;0;0;0;0;-11.8881;-49.1609;3
7.2;0.14;5;0;0;0.029453903;0;1;0;0;0;-7.46945;-37.274;2
7.9;0;0.44;1;0;1;0;0;0;1;0;-23.3171;-46.5897;1
7.58;1.03;0.6;0;0;0.35352765;0;1;0;0;0;-14.5003;-42.2229;2
6.94;0.15;1.23;0;0;0.746474596;0;0;1;0;0;-15.452;-47.6089;1
7.16;0.28;2.83;1;0;0.852293088;0;1;0;0;0;-12.1144;-43.8958;1
7;0;0.4;0;0;0.399109598;0;1;0;0;0;-9.38465;-37.0965;1
7.2;0.5;0.5;0;0;0;1;0;0;0;0;-11.8881;-49.1609;3
2;0.25;0;0;0;0.12311938;0;1;0;0;0;-12.0884;-38.4969;3
9.74;0.42;0.66;0;0;0;0;0;1;0;0;-18.6238;-50.0805;3
6;0.45;1.25;0;0;0.658763572;0;0;0;1;0;-23.7067;-46.4058;1
8.26;4.57;2;0;0;0.822229375;0;1;0;0;0;-7.559976;-35.002064;2
6.3;0;0.71;0;0;0.03766402;0;0;0;1;0;-20.0407;-47.7466;3
5.8;1.8;;;;0.176423086;0;1;0;0;0;-10.3524;-37.7002;1
9.59;1.1;;0;0;0.132908445;0;0;0;1;0;-22.5249;-45.4945;1
7.49;0.18;0.02;0;0;0.035886271;0;1;0;0;0;-11.37884;-41.83604;1
7.4;0.3;3.39;0;0;0.689819244;0;0;0;1;0;-22.7181;-42.6276;1
7.96;0.17;0.2;0;0;0;0;1;0;0;0;-12.0228;-44.2566;1
6.35;1.3;0.17;0;0;0.816027792;0;0;1;0;0;-16.2029;-49.6109;1
6.8;1;1.98;0;0;0;0;0;0;0;1;-27.0545;-52.069;1
6.85;0.1;0.4;0;0;0.920420829;0;1;0;0;0;-10.9578;-41.0756;3
6.6;11.3;0.8;1;0;0.791826987;0;1;0;0;0;-11.3809;-37.6623;1
6.56;0.1;1;0;0;0.322821047;0;1;0;0;0;-10.9578;-41.0756;3
8.1;0.13;0.83;0;0;0.397632598;0;0;0;0;1;-26.6127;-50.6607;3
0;6;0.05;;;0.784837842;1;0;0;0;0;-9.06596;-68.6571;1
6.88;2.43;1.53;1;0;0.001046119;0;1;0;0;0;-5.79357;-35.1986;1
6.8;0;2.15;0;0;0;0;1;0;0;0;-8.81175;-36.0137;1
6.6;4.94;0.3;0;1;0.629760666;0;0;0;1;0;-23.5275;-46.9023;2
6.72;0.06;2;0;0;0.367824431;0;1;0;0;0;-11.5929;-38.5938;3
6.3;3.4;0;0;0;0.760884376;0;1;0;0;0;-9.00744;-35.2267;3
9.3;1.2;0;0;0;0.200260014;0;1;0;0;0;-6.39334;-42.2591;3
6.14;0.1;0.6;0;0;0.614594724;0;1;0;0;0;-12.295;-38.6347;3
6.71;0.1;0.8;0;0;0.01123504;0;1;0;0;0;-11.3486;-41.6548;1
6.6;0.02;1.3;0;0;0.396011307;0;1;0;0;0;-12.8937082;-38.440751;1
0;2;1.5;0;0;0.063564227;1;0;0;0;0;-9.06596;-68.6571;1
6.4;0;0.3;0;0;0.339367416;0;1;0;0;0;-10.3182;-38.4014;3
1.5;;1.6;;;0.749215476;0;1;0;0;0;-8.83951;-35.4591;2
6.6;1.5;;0;0;0.426281335;0;1;0;0;0;-10.3524;-37.7002;1
6.07;0.1;0.5;0;0;1;0;1;0;0;0;-11.5273;-40.3149;2
6.98;0.33;0.07;0;0;0.596514999;0;0;1;0;0;-18.4859;-49.4766;1
4.57;27.6;0.6;0;0;0.183248674;0;1;0;0;0;-8.81175;-36.0137;1
8;3.09;2;0;0;0.010301903;0;1;0;0;0;-8.13436;-41.1431;2
6.29;0.02;0.07;1;0;0.722248461;0;0;1;0;0;-17.3019;-48.2768;1
7.4;0.04;0.8;0;0;0.06349066;0;1;0;0;0;-8.41519;-37.0577;2
7.19;1.5;1.01;0;0;0.935591749;0;0;0;1;0;-22.4743;-45.6166;1
6.7;3.6;0.6;0;0;0.791826987;0;1;0;0;0;-11.3809;-37.6623;1
7.27;0.44;2.97;0;0;0.797681752;0;1;0;0;0;-12.1144;-43.8958;1
7;7.93;0.2;0;0;0;0;1;0;0;0;-5.25476;-44.6444;3
7.2;0.72;1;0;0;0.741654499;0;0;0;1;0;-22.7181;-42.6276;1
