pH;Turbidez;CRL;Coliformes;Ecoli;Precipitação;Norte;Nordeste;Centro-Oeste;Sudeste;Sul;Latitude;Longitude;Manancial
0;2;1.8;0;0;0.030281046;1;0;0;0;0;-9.06596;-68.6571;1
6.08;0.08;0.86;0;0;0.678637859;0;1;0;0;0;-8.13436;-41.1431;2
6.99;0;1.3;1;0;0;0;1;0;0;0;-10.012;-37.8932;3
5.78;6.59;0;0;0;0.065584713;0;1;0;0;0;-2.53874;-44.2825;1
6.4;5.5;2.82;0;0;0.527290771;0;1;0;0;0;-14.637;-39.5556;1
7;0.1;0.36;1;0;0;0;1;0;0;0;-5.25476;-44.6444;3
7.02;1.47;3;0;0;0.978174167;0;1;0;0;0;-7.556729;-34.993641;2
7.2;0;2.11;1;0;0.708838469;0;1;0;0;0;-8.81175;-36.0137;1
7.1;0.25;0.6;0;0;0.046190315;0;1;0;0;0;-8.81175;-36.0137;1
5.1;0.8;1.2;0;0;0.926710743;0;0;0;0;1;-32.06923;-52.09643;1
7.76;0.25;1.18;0;0;0;0;0;1;0;0;-15.452;-47.6089;1
6.9;0.11;1.5;0;0;0;0;1;0;0;0;-8.81175;-36.0137;1
7.26;1.72;3;0;0;0.008402815;0;1;0;0;0;-8.13436;-41.1431;2
6.4;2.3;1;1;0;0.014848623;0;1;0;0;0;-10.758;-37.3251;2
0;5;0.5;;;0.931844315;1;0;0;0;0;-9.06596;-68.6571;1
7.57;0.5;1.42;0;0;0.387833812;0;1;0;0;0;-12.1144;-43.8958;1
7.4;0.14;2.5;0;0;0.611539737;0;1;0;0;0;-8.41519;-37.0577;2
7;3;1;0;0;0;0;1;0;0;0;-2.76141;-42.2755;1
6.8;0.46;1;0;0;1;0;0;0;1;0;-24.7147;-47.8742;1
7.6;2.5;0.61;0;0;0.847356575;0;1;0;0;0;-10.3524;-37.7002;1
5.28;0;0.25;0;0;0.790207268;0;1;0;0;0;-11.0208;-40.2956;2
0;2;0;0;1;0.290437355;1;0;0;0;0;-9.06596;-68.6571;1
6.95;0.1;0;0;0;0.544733814;0;0;0;0;1;-27.7455;-49.9423;1
7.1;0.1;0.3;1;0;0.014917536;0;1;0;0;0;-10.9578;-41.0756;3
7.2;;0.5;0;0;0.088794329;1;0;0;0;0;-11.8881;-49.1609;3
6.98;0.02;2.32;0;0;0.780737018;0;1;0;0;0;-12.9771455;-38.4951725;1
4.1;4.87;1.7;1;0;0.121255221;0;1;0;0;0;-8.81175;-36.0137;1
7.6;0.12;0.5;0;0;0.003986933;0;1;0;0;0;-7.37696;-37.4787;2
7.2;0.23;2;0;0;0.06349066;0;1;0;0;0;-8.41519;-37.0577;2
7.25;3.28;;0;0;0.286468728;0;1;0;0;0;-9.52221;-43.0126;1
6.8;0.38;2.5;0;0;0.718660686;0;1;0;0;0;-3.45125;-44.8643;1
7;1.4;1.08;0;0;0.033517587;0;0;0;0;1;-26.0817;-53.0535;1
5.69;2.4;0.4;0;0;0.614476557;0;1;0;0;0;-12.2664;-38.9663;1
6.53;0.74;1;0;0;0.77992619;0;1;0;0;0;-11.2329;-38.4871;3
4.65;0.33;0.2;0;0;0.183248674;0;1;0;0;0;-8.81175;-36.0137;1
7.8;0;1;0;0;0.140494586;0;1;0;0;0;-7.287;-37.0925;2
7.46;1.22;0.22;;;0.558894266;0;0;1;0;0;-16.2029;-49.6109;1
6.56;0.4;0.92;0;0;0.005221891;0;1;0;0;0;-12.1144;-43.8958;1
6.48;0.1;0.8;0;0;0.01123504;0;1;0;0;0;-11.3486;-41.6548;1
4.51;0.02;0.3;0;0;0.244648795;0;1;0;0;0;-11.2557;-40.9432;3
6.9;0.31;0.76;0;0;0.499797421;0;1;0;0;0;-14.5003;-42.2229;2
6.95;0.62;0;0;0;0.541626315;0;1;0;0;0;-14.1615;-40.0131;1
6.2;2;;;;0.090599818;0;1;0;0;0;-10.3524;-37.7002;1
6.5;0.39;1.08;0;0;0.843971631;0;0;0;0;1;-27.0772;-52.1289;1
0;2;2;0;0;0.837966527;1;0;0;0;0;-9.06596;-68.6571;1
6.8;0.11;1.5;0;0;0.086184615;0;1;0;0;0;-2.88769;-40.1183;3
6;0;1.37;1;0;0.718161527;0;0;0;1;0;-24.759;-48.5013;1
7.2;0.93;0.53;0;0;0.427571623;0;0;0;1;0;-22.7181;-42.6276;1
7.1;0.1;3;0;0;0.260638898;0;1;0;0;0;-8.81175;-36.0137;1
7.1;0.47;1.89;1;0;0;0;0;0;0;1;-27.0996;-51.2473;3
0.6;1.92;1.05;1;0;0.791826987;0;1;0;0;0;-11.3809;-37.6623;1
7.18;0.29;2;0;0;0.276174361;0;1;0;0;0;-14.5003;-42.2229;2
5.52;0;2.8;0;0;0.789812355;0;1;0;0;0;-11.9668;-41.2647;2
6.52;0.1;0.2;0;0;0.541647574;0;0;0;1;0;-21.0274;-41.6636;1
6.27;0.27;1.8;0;0;0.440093429;0;1;0;0;0;-7.66373;-35.1002;1
5.8;0;0.5;1;0;0;0;1;0;0;0;-5.79676;-42.6664;3
7;0;1;0;0;0.089620099;0;1;0;0;0;-3.40202;-44.3508;1
7.89;2.84;3;0;0;0.010301903;0;1;0;0;0;-8.13436;-41.1431;2
6;2;2;0;0;0;0;1;0;0;0;-2.76141;-42.2755;1
6.81;0.31;0.12;0;0;0.746474596;0;0;1;0;0;-15.452;-47.6089;1
6.7;4.09;1.55;0;0;0.708838469;0;1;0;0;0;-8.81175;-36.0137;1
6.8;0.02;0.92;0;0;0.662089019;0;0;0;1;0;-22.7181;-42.6276;1
0;1;2;0;0;0.030281046;1;0;0;0;0;-9.06596;-68.6571;1
7;3.25;0.3;0;0;0.287761319;0;1;0;0;0;-3.53639;-43.917;1
7.68;1.96;0.97;0;0;0.010301903;0;1;0;0;0;-8.13436;-41.1431;2
7;0.07;0.53;0;0;1;0;1;0;0;0;-3.40787;-44.0234;1
6.5;0.82;0.8;0;0;1;0;0;0;0;1;-26.9592;-50.4252;1
6.8;0;0.69;0;0;0.179767244;0;1;0;0;0;-2.88769;-40.1183;3
7.9;0.79;0;0;0;0.039741237;0;1;0;0;0;-4.58571;-42.8583;1
8.8;3.1;0.2;1;0;0.702326951;0;1;0;0;0;-9.01241;-42.6987;1
7.12;1.24;2.34;1;0;0.799837996;0;1;0;0;0;-4.56482;-44.6006;1
6.9;0.34;0.35;0;0;0.894570616;0;0;0;0;1;-31.8419;-52.8004;2
7.2;2.67;1;0;0;0.672364323;0;0;0;0;1;-26.9592;-50.4252;1
0;8;0;;;0.030281046;1;0;0;0;0;-9.06596;-68.6571;1
6.91;0.32;0.63;0;0;0.635168678;0;1;0;0;0;-13.9109;-42.8439;1
7.04;0.1;0.84;0;0;0.062171803;0;1;0;0;0;-14.5003;-42.2229;2
7.1;0.48;0.38;0;0;0.296036251;0;1;0;0;0;-11.8618;-38.7639;3
6.5;1.17;0.01;0;0;0.209372379;0;0;0;0;1;-27.0772;-52.1289;1
8.4;1;;0;0;0.046542571;0;0;0;1;0;-22.5249;-45.4945;1
7.2;0.04;1.5;0;0;0.186581187;0;1;0;0;0;-8.41519;-37.0577;2
4.18;0.02;0.3;0;0;0.411248664;0;1;0;0;0;-11.2557;-40.9432;3
6.5;1;2.1;0;0;0.926710743;0;0;0;0;1;-32.109446;-52.169745;1
7;0.27;1.8;0;0;1;0;1;0;0;0;-8.81175;-36.0137;1
7.14;0.02;0.8;0;0;0;0;1;0;0;0;-12.8983029;-38.4584337;1
3.75;4.74;3;0;0;0.893986118;0;1;0;0;0;-8.50957;-35.3698;1
6.07;0;0.2;0;0;0.90801671;0;1;0;0;0;-10.3182;-38.4014;3
6.8;0.37;0.17;0;0;0.328910242;0;0;0;0;1;-27.0772;-52.1289;1
6.7;0.02;0;0;1;0.259813521;0;0;0;0;1;-27.0996;-51.2473;3
9;1;;0;0;0.046542571;0;0;0;1;0;-22.5249;-45.4945;1
7.27;0.02;2;0;0;0.01237334;0;1;0;0;0;-8.13436;-41.1431;2
6.3;2.01;3;0;0;0.706839534;0;1;0;0;0;-5.35875;-42.6776;3
7.8;0.9;4;0;0;0.902519283;0;1;0;0;0;-8.87576;-36.3653;1
7;2.78;0.76;0;0;0.046190315;0;1;0;0;0;-8.81175;-36.0137;1
7.2;2.45;0.95;0;0;0.440763305;0;0;0;1;0;-22.7181;-42.6276;1
7.71;0;1.07;0;0;0.013574298;0;0;1;0;0;-15.452;-47.6089;1
7;1.36;0.36;0;0;0;0;1;0;0;0;-2.76141;-42.2755;1
6.65;19.8;2.19;0;0;0.625176069;0;1;0;0;0;-12.0504;-38.7631;3
7.8;0;;1;0;0.035933513;0;1;0;0;0;-7.10098;-36.8458;2
7.37;0.04;2;0;0;1;0;1;0;0;0;-12.2614;-38.0436;1
7.4;0.04;2.5;0;0;0.06349066;0;1;0;0;0;-8.41519;-37.0577;2
7.69;1.4;2.49;0;0;0.035886271;0;1;0;0;0;-11.37877;-41.82975;1
7.22;1.13;2;0;0;0;0;0;1;0;0;-18.6238;-50.0805;3
6.24;0;2.11;1;0;0.847918559;0;1;0;0;0;-5.58095;-44.3822;3
0;1;0;;;0.259254599;1;0;0;0;0;-9.06596;-68.6571;1
6.2;0.6;1.2;0;0;0.677017485;0;0;1;0;0;-22.38911;-54.50477;3
6;2.9;0.98;0;0;0.02095667;0;1;0;0;0;-3.40787;-44.0234;1
7.25;0.04;1;0;0;0.956201397;0;1;0;0;0;-11.2329;-38.4871;3
8.9;0.9;;0;0;0.080697739;0;0;0;1;0;-22.5249;-45.4945;1
6.75;0.2;0.57;0;0;0.635168678;0;1;0;0;0;-13.9109;-42.8439;1
5.68;0.1;1;0;0;0.724790356;0;1;0;0;0;-11.5273;-40.3149;2
4;0;0.5;0;0;0.293862005;0;1;0;0;0;-8.65791;-36.3293;2
